baseline,,sample_5_in_1000,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0101318,0.001244878396,800.0101318,0.001026685233,
799.0389404,-0.001152672572,799.0389404,-0.001265479717,
798.0673218,-0.001223922591,798.0673218,-0.0007755754632,
796.9564209,-0.0009552281699,796.9564209,-0.000906046771,
795.9840088,-0.001423825044,795.9840088,-0.002164720325,
795.0111694,-0.001604808727,795.0111694,-5.140649228E-5,
794.0380249,-0.0002756498288,794.0380249,0.002252266277,
793.0644531,-0.0005032938789,793.0644531,0.001344343647,
791.951355,-0.001138524385,791.951355,-0.001551986672,
790.9769897,-0.0005356643815,790.9769897,-0.0006251619197,
790.0022583,0.0001590466272,790.0022583,-0.0002554193779,
789.0271606,8.662309119E-5,789.0271606,0.001270865439,
788.0516968,0.0006784054567,788.0516968,-0.001278229989,
786.9364014,0.0003940596071,786.9364014,0.001644512988,
785.960144,-0.00126702839,785.960144,-0.0006004497991,
784.9835205,0.001330581727,784.9835205,0.002132561989,
784.0064697,0.0001274035312,784.0064697,0.00191722461,
783.0291138,-0.001589540509,783.0291138,-0.0008542763535,
782.0513306,-0.003987183794,782.0513306,-0.001186904963,
780.9334717,7.313401875E-5,780.9334717,0.001586753991,
779.9549561,-9.623336518E-5,779.9549561,0.0006437432021,
778.9760132,0.0002289699623,778.9760132,0.0009704612312,
777.9967651,0.0001748172363,777.9967651,0.002282529138,
777.0170898,-0.001279881806,777.0170898,0.0008770992281,
776.0371094,-0.000365925167,776.0371094,0.001891094842,
775.0567017,-0.0001910999417,775.0567017,0.0007123444811,
773.9358521,0.0009041018202,773.9358521,0.001290570945,
772.9547119,0.0009084079065,772.9547119,0.002003008733,
771.9731445,-0.0001737636194,771.9731445,0.0003140844638,
770.991272,-0.0004298049607,770.991272,0.001044381643,
770.0090332,0.000578574196,770.0090332,-0.0004111850867,
769.0264282,5.832500392E-5,769.0264282,-0.0003628731647,
768.043396,1.755104131E-5,768.043396,0.001033301814,
767.0600586,6.497863797E-5,767.0600586,0.0005622964818,
765.935791,0.0003137218009,765.935791,0.001471051364,
764.9517212,0.0005233411794,764.9517212,0.001180579653,
763.9672241,-0.001119263587,763.9672241,-0.0002326007816,
762.9823608,-0.001318801194,762.9823608,-5.471949044E-5,
761.9971924,-0.0009147262317,761.9971924,-0.0007036832394,
761.0116577,0.0004457779869,761.0116577,0.002064022236,
760.0256958,-0.0008096826496,760.0256958,0.0008156038821,
759.0394287,-0.001360813738,759.0394287,-0.000541093701,
758.0527954,0.0005055623478,758.0527954,0.002128920285,
757.0657959,-0.0001037903276,757.0657959,0.002733001951,
755.9373779,-8.815866022E-5,755.9373779,0.002191980835,
754.949646,-8.738223551E-5,754.949646,0.002046206268,
753.9615479,0.0004933301243,753.9615479,0.002262336202,
752.9730835,-0.0003294034104,752.9730835,0.0009175129817,
751.9842529,5.87392351E-5,751.9842529,0.0005033335765,
750.9950562,-0.0002683028288,750.9950562,0.002216567518,
750.0055542,0.000397686963,750.0055542,0.00287788664,
749.015625,-3.50999544E-5,749.015625,0.001367636025,
748.0253906,0.0009666734259,748.0253906,0.002256975975,
747.03479,-0.0007153129554,747.03479,0.002307953779,
746.0438843,0.0001567937288,746.0438843,0.002705598716,
745.0525513,-0.001067466917,745.0525513,0.002525411779,
744.0609131,-0.0008046700968,744.0609131,0.002488701371,
743.0689087,-2.112243601E-5,743.0689087,0.003304275684,
741.9347534,-0.001229859539,741.9347534,0.003007075749,
740.9420166,-0.0003462679451,740.9420166,0.004602546338,
739.9489136,0.0006431210204,739.9489136,0.004840997979,
738.9554443,-0.0004599570821,738.9554443,0.002847842639,
737.9616699,-0.0005790970172,737.9616699,0.004309476819,
736.9675293,0.001090649865,736.9675293,0.004409384914,
735.9730225,-0.000336387282,735.9730225,0.00378557737,
734.9782104,-0.0002772537409,734.9782104,0.003280774923,
733.9830322,-0.0001139868473,733.9830322,0.003201883286,
732.9874878,-0.0005724272924,732.9874878,0.003512681928,
731.9915771,-0.001015199232,731.9915771,0.004150602035,
730.9953613,-0.0007408454549,730.9953613,0.003311161883,
729.9987793,-0.00062878069,729.9987793,0.003844804596,
729.0018921,-0.001033586566,729.0018921,0.002755508991,
728.0046387,0.0006092392141,728.0046387,0.004429024179,
727.007019,0.0004430571862,727.007019,0.003999204841,
726.0090942,-0.0004049782874,726.0090942,0.005349636078,
725.0108032,-0.001164083602,725.0108032,0.003830441041,
724.012146,0.0001456070895,724.012146,0.003799129976,
723.0131836,-0.0002696998126,723.0131836,0.003481941763,
722.013855,0.000354471762,722.013855,0.004758708179,
721.0142212,-0.0006212329026,721.0142212,0.003980290145,
720.0142212,0.000418311567,720.0142212,0.004306888673,
719.013916,0.0006627721014,719.013916,0.00514165638,
718.0131836,-0.0003938575683,718.0131836,0.004407083616,
717.012207,-0.0003380427079,717.012207,0.004123579711,
716.0108643,0.0001825085346,716.0108643,0.005190066062,
715.0091553,6.76194104E-5,715.0091553,0.005759205669,
714.0071411,0.0005119896377,714.0071411,0.005293007009,
713.0047607,0.000824343937,713.0047607,0.005746614654,
712.0020752,-0.0004355976416,712.0020752,0.004529875237,
710.9990234,-0.0002876014041,710.9990234,0.005543085281,
709.9956665,-0.0001944636169,709.9956665,0.005139403511,
708.9919434,4.988512592E-5,708.9919434,0.004485226702,
707.987915,9.193080041E-5,707.987915,0.005310720764,
706.9835815,0.0001437426836,706.9835815,0.005622875411,
705.9788208,-0.0001498539059,705.9788208,0.005500089377,
704.9738159,0.000663394283,704.9738159,0.005337659735,
703.9684448,-2.764533383E-5,703.9684448,0.004944982007,
702.9627075,-0.0004147022264,702.9627075,0.00559017621,
701.956665,0.0008751279092,701.956665,0.005710496567,
700.9503174,-0.000884295674,700.9503174,0.004875734914,
699.9436035,-0.0002004146954,699.9436035,0.005051243119,
698.9365845,0.0004327700881,698.9365845,0.005686969962,
697.9292603,-0.0001509924914,697.9292603,0.005073425826,
697.0655518,0.0001695602987,697.0655518,0.005515714176,
696.0575562,3.160791675E-5,696.0575562,0.005324242637,
695.0492554,0.000888901297,695.0492554,0.00647581229,
694.0406494,0.0006311700563,694.0406494,0.006683406886,
693.0316772,-0.0003160561901,693.0316772,0.00548407156,
692.0223999,0.0003904582118,692.0223999,0.00583431311,
691.0128174,0.0002915997757,691.0128174,0.005475787912,
690.0028687,-0.0005513316719,690.0028687,0.004896023776,
688.9926147,-0.0001009435437,688.9926147,0.006128046196,
687.9819946,0.0002115398675,687.9819946,0.006129096728,
686.9711304,0.0004638394166,686.9711304,0.006608468015,
685.9598389,-0.0001375362481,685.9598389,0.005714457016,
684.9483032,-0.0006306418218,684.9483032,0.006387669127,
683.9364624,-0.001251231995,683.9364624,0.004994678777,
683.0688477,-0.000554899394,683.0688477,0.00680550281,
682.0563965,-0.0007120049559,682.0563965,0.005557060242,
681.0435791,-0.0006101693725,681.0435791,0.006261698902,
680.0304565,-0.000616321573,680.0304565,0.005282945,
679.0170288,-0.000459750212,679.0170288,0.006509025116,
678.0032349,-7.242290303E-5,678.0032349,0.006204267964,
676.9891357,-0.0003013116657,676.9891357,0.006080109626,
675.9747314,-0.0001728838542,675.9747314,0.007037195843,
674.960022,0.0007710764185,674.960022,0.00697761029,
673.9450073,-0.0007186725852,673.9450073,0.006249750033,
672.9296265,-0.0006169936387,672.9296265,0.006289668847,
672.059082,-0.0008493159548,672.059082,0.006416487973,
671.0431519,-0.0005263051135,671.0431519,0.006674600765,
670.0268555,-0.0009414352244,670.0268555,0.005916072056,
669.0103149,0.0006372621283,669.0103149,0.007432428654,
667.9934082,0.0008458187804,667.9934082,0.007856356911,
666.9761963,-0.0004847806122,666.9761963,0.008037028834,
665.9586792,-0.0001636720117,665.9586792,0.008116540499,
664.9407959,0.0001639926777,664.9407959,0.008033996448,
664.0681152,-2.195074558E-5,664.0681152,0.007060584612,
663.0497437,-0.0004876765888,663.0497437,0.006939705927,
662.0310059,4.884956797E-5,662.0310059,0.007770568132,
661.0119629,-0.000222355302,661.0119629,0.007727799006,
659.9925537,0.0004115229531,659.9925537,0.007139286026,
658.9729004,-0.0002191988315,658.9729004,0.008271886036,
657.9529419,-0.0001211294366,657.9529419,0.007496870123,
656.9326172,-0.0001409521064,656.9326172,0.008070413955,
656.0578613,-0.00087044877,656.0578613,0.008277505636,
655.0369873,0.0005024524289,655.0369873,0.008064612746,
654.0158081,-0.0002543845621,654.0158081,0.007914665155,
652.9943237,-0.0001834409923,652.9943237,0.00768192485,
651.9725342,0.0001546185231,651.9725342,0.007098604925,
650.9504395,-0.0002476580848,650.9504395,0.009202064015,
649.9280396,3.727739386E-5,649.9280396,0.007463897578,
649.0514526,-0.0004078230995,649.0514526,0.007937653922,
648.0284424,-0.0006242313539,648.0284424,0.007311446592,
647.005188,-0.0002530910133,647.005188,0.007675706409,
645.9815674,0.001149640651,645.9815674,0.009561113082,
644.9577026,0.0001083462921,644.9577026,0.007855012082,
643.9334717,-0.000270527642,643.9334717,0.007885193452,
643.0553589,-0.0006173038273,643.0553589,0.007334297523,
642.0306396,2.076104283E-5,642.0306396,0.008258245885,
641.0055542,-0.000365925167,641.0055542,0.008236849681,
639.9801636,-0.0006305901334,639.9801636,0.008136400953,
638.9545288,-0.0002906539012,638.9545288,0.007566562388,
637.9285278,-0.0007828622474,637.9285278,0.00842103269,
637.0488892,-3.023375939E-5,637.0488892,0.008923657238,
636.0223999,-0.0005183935282,636.0223999,0.00808639545,
634.9955444,3.305764039E-5,634.9955444,0.008472898044,
633.9684448,-0.0001407968375,633.9684448,0.009162326343,
632.940979,-0.0004675077216,632.940979,0.008588817902,
632.0601196,0.0006253891042,632.0601196,0.008951614611,
631.0321045,-0.0008452855982,631.0321045,0.00868226774,
630.0038452,0.001913220505,630.0038452,0.009254286997,
628.9752808,0.0001514593168,628.9752808,0.008773043752,
627.9464111,-0.0008087524911,627.9464111,0.009011973627,
627.06427,-0.0002580581931,627.06427,0.009385095909,
626.0348511,-6.626757113E-6,626.0348511,0.008782421239,
625.005127,1.141586199E-5,625.005127,0.00900861714,
623.9750977,-2.697234049E-5,623.9750977,0.008711846545,
622.9448242,6.306279829E-5,622.9448242,0.008496786468,
622.0614624,-0.0001544082334,622.0614624,0.009418161586,
621.0306396,-0.000539128785,621.0306396,0.009095893241,
619.9994507,8.688199887E-5,619.9994507,0.009452367201,
618.9680176,-0.0009533684351,618.9680176,0.009488295764,
617.9362793,-0.0002367920388,617.9362793,0.009020061232,
617.0517578,9.092103573E-5,617.0517578,0.009418479167,
616.0194702,0.0001965448464,616.0194702,0.009506287053,
614.9868774,-1.75503319E-5,614.9868774,0.01007186901,
613.9540405,0.0003893700195,613.9540405,0.01020472683,
613.0685425,0.0001045401223,613.0685425,0.01105784997,
612.0351563,-0.0004195124202,612.0351563,0.01087206788,
611.0014648,-0.0007293715025,611.0014648,0.01101273764,
609.9674683,0.0003433836682,609.9674683,0.01129535586,
608.9332275,-3.484111585E-5,608.9332275,0.011021154,
608.0465088,-0.0001399169996,608.0465088,0.0120825367,
607.0117188,-0.0005739267217,607.0117188,0.01222660765,
605.9766235,-0.0002850662568,605.9766235,0.01268664002,
604.9412842,-0.0001058089474,604.9412842,0.01342118625,
604.0535889,0.0003811568895,604.0535889,0.01364705991,
603.0177002,-8.17919572E-5,603.0177002,0.01382951718,
601.9815674,-0.0004234949884,601.9815674,0.01415967848,
600.9450684,-0.0006170970155,600.9450684,0.01478213258,
600.0564575,0.000514995947,600.0564575,0.01570020616,
599.0194702,0.0001406094525,599.0194702,0.01617320441,
597.9822388,-0.0001562195976,597.9822388,0.01703321747,
596.9446411,0.0008994845557,596.9446411,0.01775199361,
596.0551147,0.0004633211356,596.0551147,0.01808887534,
595.0170288,-0.0003131073317,595.0170288,0.0193445012,
593.9786987,0.000308566785,593.9786987,0.021072492,
592.9400635,-0.000200000708,592.9400635,0.02259259671,
592.0495605,-0.0002753394074,592.0495605,0.02256088518,
591.010437,-0.0002335321769,591.010437,0.02483050339,
589.9710083,0.0003488499497,589.9710083,0.0265574716,
588.9312744,0.0001061454386,588.9312744,0.02808875591,
588.039917,-0.000221889597,588.039917,0.02955324203,
586.9996948,-0.0004711278598,586.9996948,0.03168709204,
585.9591675,-0.0004511133593,585.9591675,0.03464363888,
585.0670776,-0.0001395547151,585.0670776,0.03714068979,
584.026062,0.0008536257083,584.026062,0.04090861976,
582.9848022,-0.0006516819121,582.9848022,0.04324541613,
581.9432373,-0.0003955127613,581.9432373,0.04619625956,
581.0502319,-0.0003351457126,581.0502319,0.04982851073,
580.0081787,3.67855173E-5,580.0081787,0.05325538293,
578.9658203,0.0001648990292,578.9658203,0.056391038,
578.0721436,-0.0002557815751,578.0721436,0.05806434527,
577.0292969,2.236605178E-5,577.0292969,0.06142127514,
575.9862061,0.0002634437406,575.9862061,0.06409490108,
574.9428101,0.0001549292647,574.9428101,0.06619882584,
574.0482178,-0.0002861527319,574.0482178,0.06854808331,
573.0043335,-0.0002040370309,573.0043335,0.06981462985,
571.960144,-0.0002856353531,571.960144,0.07154914737,
571.0649414,0.0003492126416,571.0649414,0.07197450101,
570.0202637,0.0003123229544,570.0202637,0.072272636,
568.9753418,-0.0004202365235,568.9753418,0.07182854414,
567.9301147,-8.536353562E-5,567.9301147,0.07147528976,
567.0339966,-1.698086271E-5,567.0339966,0.07093639672,
565.9882813,-0.0002099362318,565.9882813,0.07024406642,
564.9423218,-3.820600978E-5,564.9423218,0.06880936027,
564.0455933,-0.0001029621781,564.0455933,0.06808692217,
562.9990845,0.001069681952,562.9990845,0.06668958813,
561.9523926,3.784693399E-5,561.9523926,0.06471871585,
561.0549927,5.268114182E-5,561.0549927,0.06414858252,
560.0077515,9.594399307E-5,560.0077515,0.06302979589,
558.9602661,-0.0003658217029,558.9602661,0.06102719158,
558.0621948,0.0001165542708,558.0621948,0.06068439782,
557.0142212,-0.0002338943887,557.0142212,0.06035231426,
555.9659424,-2.107066757E-5,555.9659424,0.06044271961,
555.0672607,-0.0002868253505,555.0672607,0.05909312516,
554.0185547,-0.0006100143073,554.0185547,0.05841710046,
552.9695435,0.0001176158767,552.9695435,0.05846235156,
552.0701904,0.0001147158764,552.0701904,0.05840208381,
551.020752,-0.0001117094725,551.020752,0.05885280669,
549.9710083,-8.12743383E-5,549.9710083,0.05936987326,
549.0710449,3.795048906E-5,549.0710449,0.06014376134,
548.020813,-0.0006149773835,548.020813,0.05970414728,
546.9703369,-3.504818596E-5,546.9703369,0.06151393056,
546.0697021,-0.001146941097,546.0697021,0.06242759153,
545.0187988,-0.0002963967272,545.0187988,0.06343630701,
543.9675903,-0.0005012254114,543.9675903,0.0647078082,
543.0663452,-1.258039811E-5,543.0663452,0.0666000396,
542.0146484,-0.0001763511827,542.0146484,0.06716252863,
540.9627075,0.0007375995046,540.9627075,0.0674791187,
540.0608521,0.0002740117488,540.0608521,0.06752901524,
539.0084229,-0.0003527859517,539.0084229,0.06860683113,
537.9557495,4.486269972E-5,537.9557495,0.06922034919,
537.0532837,-4.338271538E-5,537.0532837,0.06861720234,
536.0001221,-0.0003581141063,536.0001221,0.06878233701,
534.9467163,4.628657916E-5,534.9467163,0.06874603778,
534.0436401,-0.000179352719,534.0436401,0.06830444187,
532.9897461,-3.753303099E-5,532.9897461,0.06868181378,
531.9356689,-0.0002382926032,531.9356689,0.06734896451,
531.0319214,-0.0003155388404,531.0319214,0.06651037186,
529.977356,-0.0008062720299,529.977356,0.06456034631,
529.0732422,0.0002553624799,529.0732422,0.06452256441,
528.0181885,-0.0003269719891,528.0181885,0.06325983256,
526.9628906,-0.001007813029,526.9628906,0.06213798746,
526.0581665,-0.000321177853,526.0581665,0.06051770225,
525.0023804,-0.000173608365,525.0023804,0.0601737611,
523.9464111,-0.0001210776827,523.9464111,0.05809212849,
523.0410767,-0.0008269419195,523.0410767,0.05639793351,
521.9846191,-0.0002802545787,521.9846191,0.05584305525,
520.9279175,-0.001115442254,520.9279175,0.05341287702,
520.0219727,-0.0004705072497,520.0219727,0.05228105187,
518.9647827,-0.0002292373974,518.9647827,0.05131711811,
518.0584717,-4.607457959E-5,518.0584717,0.05040906742,
517.0008545,-7.169821038E-5,517.0008545,0.04889922962,
515.9429932,-0.0003323004348,515.9429932,0.04770731926,
515.0360718,-7.506866041E-6,515.0360718,0.04691043869,
513.9777222,0.0001971922902,513.9777222,0.0461259,
513.0704346,-0.0003547517117,513.0704346,0.04514590278,
512.0116577,-0.00029117128,512.0116577,0.04483693838,
510.9526672,0.000244846713,510.9526672,0.04371728003,
510.0447693,-0.0001256840769,510.0447693,0.04314491153,
508.985321,-0.0001750574011,508.985321,0.04240686819,
507.9256287,-9.012559167E-5,507.9256287,0.04175185785,
507.0171204,-0.0001329299848,507.0171204,0.04141829908,
505.9570007,-0.0002821171656,505.9570007,0.04073611647,
505.0481262,-0.0002603865287,505.0481262,0.04028082639,
503.9875488,2.117523763E-5,503.9875488,0.04048431665,
502.9267273,-0.0001529073779,502.9267273,0.03986664116,
502.0172729,-0.0006556106382,502.0172729,0.03961968422,
500.9560242,-0.0006411878276,500.9560242,0.03925463557,
500.0462036,-0.0002383960964,500.0462036,0.03927633911,
498.9844971,-0.0001430223056,498.9844971,0.03964554518,
498.0742798,-0.0007617251249,498.0742798,0.03876310587,
497.012146,-0.0002700619807,497.012146,0.03898831457,
495.9497986,-0.0001077757988,495.9497986,0.03900405765,
495.0390015,-6.885612947E-6,495.0390015,0.03922128677,
493.9762268,-0.0006336919032,493.9762268,0.03866304085,
493.0650635,-0.0001471626747,493.0650635,0.03879415616,
492.0018311,0.0002167973144,492.0018311,0.03924494609,
490.9383545,-7.382050535E-5,490.9383545,0.03962305561,
490.0266418,-0.0001358800801,490.0266418,0.03958565369,
488.9627686,-7.651218039E-5,488.9627686,0.0388953574,
488.0506592,4.121241727E-5,488.0506592,0.03990318999,
486.9863586,-0.0001563231053,486.9863586,0.03982930258,
486.0738831,-0.0002180604206,486.0738831,0.0400470309,
485.0091553,-0.0001575134374,485.0091553,0.04091956839,
483.9441833,-0.0001501126681,483.9441833,0.04038242996,
483.0311584,-1.998350854E-5,483.0311584,0.04071664438,
481.9657593,-0.0003249026486,481.9657593,0.04067923129,
481.0523682,-0.0006273848703,481.0523682,0.0411098972,
479.9865417,-0.0006783553399,479.9865417,0.0424470529,
479.0728149,-0.0002027433511,479.0728149,0.04267143831,
478.0065918,6.710161688E-5,478.0065918,0.0431416519,
476.9401245,-0.0001298246061,476.9401245,0.04377917945,
476.0258179,-8.991854702E-5,476.0258179,0.04450232536,
474.9589233,-0.0001124858463,474.9589233,0.04514098912,
474.044281,-2.215782297E-5,474.044281,0.04628500342,
472.9769897,-0.0004033231235,472.9769897,0.0465156436,
472.0619812,-0.0001950328588,472.0619812,0.04815519601,
470.9942627,8.134132804E-5,470.9942627,0.04955551028,
469.9263306,6.306279829E-5,469.9263306,0.05102050304,
469.0108032,-0.0002769433195,469.0108032,0.05296425521,
467.9424438,-0.0002728041727,467.9424438,0.05415454507,
467.0265503,-0.0002161975572,467.0265503,0.05598947778,
465.9577942,-9.773441707E-5,465.9577942,0.05749418586,
465.0415344,0.0001318831492,465.0415344,0.05981170759,
463.9723816,-0.0008497809758,463.9723816,0.0622782968,
463.0557861,-0.0003501477186,463.0557861,0.06457079202,
461.9862061,0.0001591760956,461.9862061,0.06775687635,
461.0692749,-0.0002192505635,461.0692749,0.0701777041,
459.9992981,-9.587104432E-5,459.9992981,0.07369096577,
458.9291077,-0.0002764259116,458.9291077,0.07755371183,
458.0116272,-4.524631731E-5,458.0116272,0.08136241883,
456.94104,-0.0003914264671,456.94104,0.08472736925,
456.0232239,0.0001472902513,456.0232239,0.08896876127,
