blank,,bm3_workingStock_2in100,,bm3_workingStock_1in100,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
732.9874878,0.001247604261,732.9874878,0.01502776798,732.9874878,0.008602705784,
731.9915771,-0.001637922483,731.9915771,0.01472616103,731.9915771,0.006787964609,
730.9953613,-0.0008799556526,730.9953613,0.01573303156,730.9953613,0.009427261539,
729.9987793,-0.0003247474669,729.9987793,0.01558221132,729.9987793,0.008241467178,
729.0018921,-0.001364684547,729.0018921,0.01490574982,729.0018921,0.007116918918,
728.0046387,-0.002333243145,728.0046387,0.01466444042,728.0046387,0.007470797282,
727.007019,0.0004065999819,727.007019,0.01682702079,727.007019,0.01024450734,
726.0090942,-0.0002358089114,726.0090942,0.01699865051,726.0090942,0.009704668075,
725.0108032,0.0002682873746,725.0108032,0.01534583513,725.0108032,0.009616554715,
724.012146,-0.0009046001942,724.012146,0.01649611816,724.012146,0.008435100317,
723.0131836,-6.719477824E-5,723.0131836,0.01688937284,723.0131836,0.009039433673,
722.013855,-0.001429191674,722.013855,0.01669066958,722.013855,0.008059759624,
721.0142212,7.587840082E-5,721.0142212,0.01784082875,721.0142212,0.009029416367,
720.0142212,0.0004163164122,720.0142212,0.01812352799,720.0142212,0.01032352261,
719.013916,0.0003067275975,719.013916,0.01833404042,719.013916,0.01040406339,
718.0131836,6.024082541E-5,718.0131836,0.01819378696,718.0131836,0.009644715115,
717.012207,0.0004007961252,717.012207,0.01733694226,717.012207,0.009828013368,
716.0108643,-0.0001603081037,716.0108643,0.01778912731,716.0108643,0.01033863239,
715.0091553,-5.963717558E-5,715.0091553,0.0181172397,715.0091553,0.01106679812,
714.0071411,-0.0005241850158,714.0071411,0.0182971023,714.0071411,0.01065142546,
713.0047607,0.0006310145254,713.0047607,0.01833733357,713.0047607,0.01024665404,
712.0020752,0.0003930232488,712.0020752,0.01930604316,712.0020752,0.01040416863,
710.9990234,0.0001322197641,710.9990234,0.0179088302,710.9990234,0.01046213135,
709.9956665,0.0014921166,709.9956665,0.01798415184,709.9956665,0.01139938273,
708.9919434,-9.980482719E-5,708.9919434,0.01888623461,708.9919434,0.01009224262,
707.987915,3.857026513E-6,707.987915,0.01864205487,707.987915,0.01056603808,
706.9835815,0.0001657018001,706.9835815,0.01906384528,706.9835815,0.0117379399,
705.9788208,0.0007232345524,705.9788208,0.01879669912,705.9788208,0.01090906933,
