baseline,,bm3,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0101318,0.0008024033741,800.0101318,0.01120065153,
799.0389404,0.0006246113917,799.0389404,0.01030324399,
798.0673218,0.001048585284,798.0673218,0.01169342175,
796.9564209,0.0008640524466,796.9564209,0.01241789758,
795.9840088,-0.0004138746881,795.9840088,0.01201847661,
795.0111694,0.001320507261,795.0111694,0.01094387006,
794.0380249,0.0002360147191,794.0380249,0.0124417115,
793.0644531,0.001492480282,793.0644531,0.01175607834,
791.951355,-0.0007618801901,791.951355,0.01120179333,
790.9769897,-0.0005425931886,790.9769897,0.01019407343,
790.0022583,0.0004708102497,790.0022583,0.01168169454,
789.0271606,0.00275545707,789.0271606,0.0122895278,
788.0516968,-0.0002941720304,788.0516968,0.01245508436,
786.9364014,-0.001025012811,786.9364014,0.01125253085,
785.960144,-0.002417016774,785.960144,0.01232462563,
784.9835205,-0.00095843093,784.9835205,0.01219484489,
784.0064697,0.000838997541,784.0064697,0.01328977011,
783.0291138,-0.000810457801,783.0291138,0.01013601385,
782.0513306,0.002233323641,782.0513306,0.01332486887,
780.9334717,0.001735805068,780.9334717,0.01306506898,
779.9549561,-7.935912436E-5,779.9549561,0.0101837907,
778.9760132,5.532183786E-5,778.9760132,0.01076941472,
777.9967651,0.0004278727865,777.9967651,0.01268034987,
777.0170898,0.0009335706127,777.0170898,0.01273213979,
776.0371094,-0.0003595107992,776.0371094,0.01202795003,
775.0567017,-0.0006898823194,775.0567017,0.01179929916,
773.9358521,-0.001239410136,773.9358521,0.01350083482,
772.9547119,0.0002169268118,772.9547119,0.01206914894,
771.9731445,0.001432040473,771.9731445,0.01251350809,
770.991272,0.0006982655614,770.991272,0.01418053918,
770.0090332,-0.0003704254923,770.0090332,0.01277092565,
769.0264282,-0.0003766327864,769.0264282,0.01285050903,
768.043396,0.0001610664767,768.043396,0.0136210965,
767.0600586,0.0005451639881,767.0600586,0.01341707446,
765.935791,1.092401635E-5,765.935791,0.01335762162,
764.9517212,-0.0002033125638,764.9517212,0.01280718297,
763.9672241,-0.0007560918457,763.9672241,0.01136858389,
762.9823608,-0.0008404801483,762.9823608,0.01191092283,
761.9971924,-0.0003406809992,761.9971924,0.01186002884,
761.0116577,0.0002631847165,761.0116577,0.01319590956,
