baseline,,bm3,,bm4,,bm53_palmOH_ul_5,,bm53_palmOH_ul_10,,bm53_palmOH_ul_20,,bm53_palmOH_ul_30,,bm53_palmOH_ul_40,,bm53_palmOH_ul_50,,bm53_palmOH_ul_50,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
782.0341187,-0.001605530968,782.0341187,-0.0177981779,782.0341187,-0.01514097489,782.0341187,-0.01680481993,782.0341187,-0.01715940051,782.0341187,-0.01664899476,782.0341187,-0.01560166292,782.0341187,-0.01847318001,782.0341187,0.003896804992,782.0341187,0.02899587713,
781.055603,0.001529704081,781.055603,-0.01669757254,781.055603,-0.01353271119,781.055603,-0.01558528002,781.055603,-0.01555156428,781.055603,-0.01603536867,781.055603,-0.01430595387,781.055603,-0.01538349781,781.055603,0.004509158898,781.055603,0.02991260774,
779.9368896,-0.0009113681153,779.9368896,-0.01854715124,779.9368896,-0.01447929628,779.9368896,-0.01780747063,779.9368896,-0.016471982,779.9368896,-0.0171866715,779.9368896,-0.01656931825,779.9368896,-0.01694296114,779.9368896,0.00392279448,779.9368896,0.02801720984,
778.9575806,-0.0003579072072,778.9575806,-0.01766353846,778.9575806,-0.01467379089,778.9575806,-0.01726111025,778.9575806,-0.01667345874,778.9575806,-0.0166112259,778.9575806,-0.01749374904,778.9575806,-0.01792085171,778.9575806,0.004235887434,778.9575806,0.02726717107,
777.9779053,-0.00160042441,777.9779053,-0.01949748397,777.9779053,-0.01684366725,777.9779053,-0.01737771928,777.9779053,-0.01857661828,777.9779053,-0.01764161512,777.9779053,-0.01879259013,777.9779053,-0.01900622435,777.9779053,0.003190383315,777.9779053,0.02673134021,
776.9978638,-0.0002525736054,776.9978638,-0.0153783001,776.9978638,-0.01444955077,776.9978638,-0.01523226127,776.9978638,-0.01482186932,776.9978638,-0.01325008646,776.9978638,-0.01521406509,776.9978638,-0.01578791812,776.9978638,0.007139680441,776.9978638,0.02674020454,
776.0174561,-0.001204149332,776.0174561,-0.01700808294,776.0174561,-0.01477508433,776.0174561,-0.01683086716,776.0174561,-0.01680716127,776.0174561,-0.01697701775,776.0174561,-0.01721647754,776.0174561,-0.01660843566,776.0174561,0.005990025587,776.0174561,0.02590063773,
775.0366821,-0.001467014081,775.0366821,-0.01802531444,775.0366821,-0.01407159958,775.0366821,-0.01586489379,775.0366821,-0.0176496692,775.0366821,-0.0162013378,775.0366821,-0.01674076356,775.0366821,-0.01769470423,775.0366821,0.006724049337,775.0366821,0.02389661036,
774.055542,-0.000135517781,774.055542,-0.01689510979,774.055542,-0.01329316944,774.055542,-0.01707458869,774.055542,-0.01596281491,774.055542,-0.01583853737,774.055542,-0.01643429697,774.055542,-0.01608585939,774.055542,0.006875926163,774.055542,0.02683384344,
772.9338379,0.00133029616,772.9338379,-0.01582046598,772.9338379,-0.01424613688,772.9338379,-0.01511297468,772.9338379,-0.01564995758,772.9338379,-0.01634156704,772.9338379,-0.01569090597,772.9338379,-0.0164987985,772.9338379,0.00880014617,772.9338379,0.02643291466,
