baseline,,bm3,,bm3_lauric10mM_ul_50,,bm3_lauric10mM_ul_100,,bm3_lauric10mM_ul_150,,bm3_lauric10mM_ul_200,,bm3_lauric10mM_ul_250,,bm3_lauric10mM_ul_300,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
776.0174561,-0.0005451268516,776.0174561,0.002354981378,776.0174561,0.004836207721,776.0174561,0.001884257188,776.0174561,0.003089451464,776.0174561,0.002925575478,776.0174561,0.004123710096,776.0174561,0.002591654891,
775.0366821,0.001030629268,775.0366821,0.004752845503,775.0366821,0.003922846634,775.0366821,0.003931414336,775.0366821,0.001940391609,775.0366821,0.00402810052,775.0366821,0.005974462256,775.0366821,0.0046466575,
774.055542,-0.0005886619911,774.055542,0.00361679215,774.055542,0.00329798949,774.055542,0.003897170769,774.055542,0.002342384774,774.055542,0.002581551205,774.055542,0.003804744454,774.055542,0.003615983063,
772.9338379,-0.001585465507,772.9338379,0.0007291723741,772.9338379,0.002712839982,772.9338379,0.002734096022,772.9338379,-0.0002701654739,772.9338379,0.002491408959,772.9338379,0.002462198725,772.9338379,0.001479700673,
771.9519043,0.0004489911662,771.9519043,0.004192184191,771.9519043,0.002822855487,771.9519043,0.00379918213,771.9519043,0.0009006258915,771.9519043,0.003783671185,771.9519043,0.003662734991,771.9519043,0.003345150733,
770.9696045,-0.001112757018,770.9696045,0.002352613024,770.9696045,0.002210661303,770.9696045,0.002385667991,770.9696045,0.001570022781,770.9696045,0.003020630218,770.9696045,0.003490631236,770.9696045,0.003785629524,
769.9869385,-0.0004401489859,769.9869385,0.002509972313,769.9869385,0.002736961469,769.9869385,0.002682286547,769.9869385,0.001004397171,769.9869385,0.002134174807,769.9869385,0.003382220631,769.9869385,0.002457799157,
769.0039673,-0.0008030164754,769.0039673,0.003797928803,769.0039673,0.004165472928,769.0039673,0.00359781622,769.0039673,0.002368906047,769.0039673,0.003800226608,769.0039673,0.005277416203,769.0039673,0.003430304118,
768.0205688,0.0009037386626,768.0205688,0.003812056268,768.0205688,0.004100661725,768.0205688,0.003129080869,768.0205688,0.002445121296,768.0205688,0.004421963356,768.0205688,0.004447879735,768.0205688,0.004226816818,
767.0368652,-0.0004392180126,767.0368652,0.003865933279,767.0368652,0.004382529762,767.0368652,0.004213904496,767.0368652,0.002213731408,767.0368652,0.003504670458,767.0368652,0.004296169616,767.0368652,0.003960645292,
766.0527344,-0.0007619318785,766.0527344,0.003613894805,766.0527344,0.003970389254,766.0527344,0.003778840182,766.0527344,0.001281743636,766.0527344,0.003744216869,766.0527344,0.004994469695,766.0527344,0.005220298655,
765.0682983,0.0002279857872,765.0682983,0.003982615191,765.0682983,0.004614659585,765.0682983,0.003605176695,765.0682983,0.001838554163,765.0682983,0.002701300895,765.0682983,0.004106828943,765.0682983,0.003899286501,
763.942749,-0.0003460610169,763.942749,0.00348538626,763.942749,0.002951506991,763.942749,0.003436983563,763.942749,0.0006353696808,763.942749,0.002114665229,763.942749,0.004146107007,763.942749,0.003457022365,
762.9575195,0.001993386773,762.9575195,0.003894924419,762.9575195,0.005681147799,762.9575195,0.004012790043,762.9575195,0.002719977405,762.9575195,0.0044600931,762.9575195,0.003875831841,762.9575195,0.004558073822,
761.9719238,-0.0001150220123,761.9719238,0.004647834692,761.9719238,0.004314862657,761.9719238,0.005091182888,761.9719238,0.002974442439,761.9719238,0.004719139077,761.9719238,0.006574433297,761.9719238,0.00468315836,
760.9859619,0.0001788829832,760.9859619,0.004999785218,760.9859619,0.004334209953,760.9859619,0.0050109406,760.9859619,0.002009276068,760.9859619,0.004639776424,760.9859619,0.005403179675,760.9859619,0.004896861501,
759.9996338,0.0006509501836,759.9996338,0.0042891372,759.9996338,0.004296509549,759.9996338,0.005214010831,759.9996338,0.003019013908,759.9996338,0.00360003463,759.9996338,0.004469298758,759.9996338,0.004559669644,
759.0129395,-0.0006327096489,759.0129395,0.004851311445,759.0129395,0.004873536061,759.0129395,0.004035363905,759.0129395,0.002928311937,759.0129395,0.003808713751,759.0129395,0.00505627133,759.0129395,0.003709048033,
758.0259399,-0.0004934684839,758.0259399,0.004564351868,758.0259399,0.004737196025,758.0259399,0.003662526142,758.0259399,0.00177845615,758.0259399,0.00392890675,758.0259399,0.004475601949,758.0259399,0.005336899776,
757.0385742,-0.001092462335,757.0385742,0.003999701235,757.0385742,0.003665841417,757.0385742,0.003125952091,757.0385742,0.001130486606,757.0385742,0.004042888526,757.0385742,0.00390751427,757.0385742,0.004503012635,
756.0507813,-0.00062542042,756.0507813,0.004119947087,756.0507813,0.004461766686,756.0507813,0.002965137828,756.0507813,0.001999185886,756.0507813,0.003494571662,756.0507813,0.004508897662,756.0507813,0.003871731227,
755.0626831,-0.000900518673,755.0626831,0.003675918328,755.0626831,0.004941316321,755.0626831,0.004168164451,755.0626831,0.003323630197,755.0626831,0.004448350519,755.0626831,0.004625988193,755.0626831,0.005329667125,
753.9329834,-0.0006566962111,753.9329834,0.003932093736,753.9329834,0.003880271921,753.9329834,0.003671845654,753.9329834,0.00237143063,753.9329834,0.003876484698,753.9329834,0.003705601674,753.9329834,0.003068282502,
752.9441528,-0.0003086063953,752.9441528,0.003978069872,752.9441528,0.003595336573,752.9441528,0.003998342436,752.9441528,0.002485655248,752.9441528,0.003600321943,752.9441528,0.005609502085,752.9441528,0.004195451271,
751.954895,0.0006965284119,751.954895,0.005492486525,751.954895,0.004933383316,751.954895,0.005583358929,751.954895,0.003042526776,751.954895,0.004442988895,751.954895,0.005460242741,751.954895,0.005111115053,
750.965332,0.000741955766,750.965332,0.004534740467,750.965332,0.005359568633,750.965332,0.004476936068,750.965332,0.003577823052,750.965332,0.004495453555,750.965332,0.005641494412,750.965332,0.004577039741,
749.9754028,0.0006927170907,749.9754028,0.005592195317,749.9754028,0.005393194035,749.9754028,0.004809613805,749.9754028,0.002789923456,749.9754028,0.004524199292,749.9754028,0.005912949797,749.9754028,0.004701763391,
748.9851074,-1.868926665E-5,748.9851074,0.005406298675,748.9851074,0.005818099249,748.9851074,0.005993306637,748.9851074,0.00352231157,748.9851074,0.004651654977,748.9851074,0.005583201535,748.9851074,0.006166982464,
747.9945068,7.590428868E-5,747.9945068,0.006174019072,747.9945068,0.005105064251,747.9945068,0.00428403914,747.9945068,0.003081604373,747.9945068,0.003782470012,747.9945068,0.004514625762,747.9945068,0.003174189711,
747.003479,-0.0006693092873,747.003479,0.005309829954,747.003479,0.005195620004,747.003479,0.00387139176,747.003479,0.002823298331,747.003479,0.004002444446,747.003479,0.004759519361,747.003479,0.003577614203,
746.012146,-0.0005896443035,746.012146,0.005156770814,746.012146,0.003938232083,746.012146,0.003952939063,746.012146,0.002752956236,746.012146,0.003587689018,746.012146,0.005900642835,746.012146,0.004310025834,
745.0204468,-0.0004412868002,745.0204468,0.005150929093,745.0204468,0.004614633508,745.0204468,0.003547052154,745.0204468,0.002307433169,745.0204468,0.003195311641,745.0204468,0.003490396542,745.0204468,0.004192393273,
744.0283813,-0.0005234093987,744.0283813,0.005276839714,744.0283813,0.005445039365,744.0283813,0.004558570683,744.0283813,0.003623213386,744.0283813,0.004011065699,744.0283813,0.005341800395,744.0283813,0.00557751162,
743.0360107,0.0002787777921,743.0360107,0.005860366393,743.0360107,0.005604388658,743.0360107,0.004808017053,743.0360107,0.003058897564,743.0360107,0.004613194615,743.0360107,0.005601739977,743.0360107,0.004215289839,
742.0432129,7.481688954E-5,742.0432129,0.003899051342,742.0432129,0.003974830266,742.0432129,0.003594997106,742.0432129,0.002637046622,742.0432129,0.002474929206,742.0432129,0.00476197945,742.0432129,0.003713120939,
741.0501099,0.0002027603477,741.0501099,0.005248306319,741.0501099,0.005738483276,741.0501099,0.004412261304,741.0501099,0.004394793417,741.0501099,0.004038682207,741.0501099,0.005808209069,741.0501099,0.004719374701,
740.0567017,-0.0009351843037,740.0567017,0.004360696301,740.0567017,0.00572872581,740.0567017,0.004027212039,740.0567017,0.004517215304,740.0567017,0.003840025514,740.0567017,0.005569750443,740.0567017,0.004189491738,
739.0628662,-0.0004992603208,739.0628662,0.005050169304,739.0628662,0.005437621381,739.0628662,0.005147340707,739.0628662,0.003718708176,739.0628662,0.00462316256,739.0628662,0.005688806064,739.0628662,0.005109595601,
738.0687256,-0.0005811651354,738.0687256,0.005935674533,738.0687256,0.005012485664,738.0687256,0.004267700482,738.0687256,0.003534942633,738.0687256,0.00494932849,738.0687256,0.005699349567,738.0687256,0.004765774123,
736.9321289,0.0008035444771,736.9321289,0.0065125986,736.9321289,0.005825733766,736.9321289,0.006128361449,736.9321289,0.003386734053,736.9321289,0.005213067867,736.9321289,0.00594882248,736.9321289,0.004954250529,
735.9372559,8.866849385E-5,735.9372559,0.006052809302,735.9372559,0.005743440706,735.9372559,0.005131100304,735.9372559,0.003697430016,735.9372559,0.005139429588,735.9372559,0.005690484308,735.9372559,0.005157765932,
734.9420166,-0.0007961434894,734.9420166,0.005512148608,734.9420166,0.005507718306,734.9420166,0.004989677574,734.9420166,0.003723146627,734.9420166,0.004857567605,734.9420166,0.00554589089,734.9420166,0.004628892057,
733.9464111,0.0004993425682,733.9464111,0.006144140381,733.9464111,0.005445353687,733.9464111,0.005045141093,733.9464111,0.003913730849,733.9464111,0.005713381805,733.9464111,0.006239140406,733.9464111,0.00576807186,
732.9504395,-0.0002661814797,732.9504395,0.006534855813,732.9504395,0.005871805828,732.9504395,0.005278909579,732.9504395,0.004095670767,732.9504395,0.005010128487,732.9504395,0.006049134769,732.9504395,0.004880656488,
731.9541626,0.0002103226434,731.9541626,0.006487294566,731.9541626,0.006115392316,731.9541626,0.005598331336,731.9541626,0.004255675711,731.9541626,0.00539602479,731.9541626,0.006047612056,731.9541626,0.00508010434,
730.9575195,-0.0006008117343,730.9575195,0.005820670631,730.9575195,0.005405800883,730.9575195,0.004755332135,730.9575195,0.003667903831,730.9575195,0.004808357451,730.9575195,0.005542482249,730.9575195,0.004681771621,
729.9605713,0.000122302532,729.9605713,0.00580136152,729.9605713,0.005600743461,729.9605713,0.005730089732,729.9605713,0.003990348428,729.9605713,0.005563457496,729.9605713,0.005799341947,729.9605713,0.005540122744,
728.9632568,-0.0001289447537,728.9632568,0.006553987041,728.9632568,0.006178482901,728.9632568,0.005667299964,728.9632568,0.004139991477,728.9632568,0.005908331368,728.9632568,0.006374140736,728.9632568,0.004904034548,
727.9655762,0.0007308837376,727.9655762,0.006140359677,727.9655762,0.005868447479,727.9655762,0.007034196518,727.9655762,0.004420054145,727.9655762,0.00552997645,727.9655762,0.006676204503,727.9655762,0.005368322134,
726.9675903,-0.0001511477458,726.9675903,0.006774949376,726.9675903,0.005532702897,726.9675903,0.005335668102,726.9675903,0.004350786563,726.9675903,0.005245555192,726.9675903,0.006509655621,726.9675903,0.00529332133,
725.9692383,0.0003297570802,725.9692383,0.006931710057,725.9692383,0.006226535421,725.9692383,0.005586505402,725.9692383,0.004502071068,725.9692383,0.005956354085,725.9692383,0.006021311507,725.9692383,0.004745465703,
724.97052,-0.0005327169783,724.97052,0.006213484798,724.97052,0.006144429091,724.97052,0.005670788232,724.97052,0.003969161306,724.97052,0.005274298135,724.97052,0.006362372544,724.97052,0.004802991636,
723.9714966,-1.910342507E-5,723.9714966,0.006293083075,723.9714966,0.006370515563,723.9714966,0.006068296731,723.9714966,0.00398384314,723.9714966,0.005366644822,723.9714966,0.005759494379,723.9714966,0.005106531084,
722.9721069,0.0002799693029,722.9721069,0.007277593482,722.9721069,0.007666959427,722.9721069,0.006318638567,722.9721069,0.005046895705,722.9721069,0.006402143743,722.9721069,0.007257851306,722.9721069,0.005767442286,
721.9724121,-0.000277615909,721.9724121,0.006328304298,721.9724121,0.006008424331,721.9724121,0.00649772631,721.9724121,0.004552528262,721.9724121,0.005540856626,721.9724121,0.006075883284,721.9724121,0.005557322409,
720.9723511,0.000404527178,720.9723511,0.006682224106,720.9723511,0.006701335311,720.9723511,0.00641520042,720.9723511,0.004570839461,720.9723511,0.006220259704,720.9723511,0.00608769618,720.9723511,0.005772164091,
719.9719238,-0.0004356493591,719.9719238,0.006927344017,719.9719238,0.006265611853,719.9719238,0.005279407371,719.9719238,0.004191583022,719.9719238,0.005308205262,719.9719238,0.006410392933,719.9719238,0.005953677464,
718.9711914,-0.0002906539012,718.9711914,0.006113318261,718.9711914,0.006424579304,718.9711914,0.00521875266,718.9711914,0.004813382868,718.9711914,0.005868578795,718.9711914,0.00569675304,718.9711914,0.005219119601,
717.9701538,-0.0006475980044,717.9701538,0.006357013714,717.9701538,0.00594819244,717.9701538,0.005333126057,717.9701538,0.004177887458,717.9701538,0.005200283136,717.9701538,0.005971024279,717.9701538,0.005106924102,
716.968689,0.0002840360394,716.968689,0.007176575717,716.968689,0.007395827677,716.968689,0.006234807428,716.968689,0.005287504289,716.968689,0.006633279845,716.968689,0.007162154187,716.968689,0.006032860372,
715.9669189,-0.0005757363397,715.9669189,0.006334161386,715.9669189,0.005933207925,715.9669189,0.005193943158,715.9669189,0.00428403914,715.9669189,0.005006698426,715.9669189,0.005686026067,715.9669189,0.005797347985,
714.9648438,-0.0004919688217,714.9648438,0.006954646204,714.9648438,0.006798219401,714.9648438,0.005830010399,714.9648438,0.004850814119,714.9648438,0.006158370525,714.9648438,0.006410550326,714.9648438,0.0061839181,
713.9624023,-0.0001256323158,713.9624023,0.007510354742,713.9624023,0.006788963918,713.9624023,0.00637915777,713.9624023,0.004832700361,713.9624023,0.006931893993,713.9624023,0.006857648492,713.9624023,0.00526481308,
712.9596558,-0.0002364815882,712.9596558,0.007033222821,712.9596558,0.007114234846,712.9596558,0.005900065415,712.9596558,0.004843746312,712.9596558,0.005621171091,712.9596558,0.006363370456,712.9596558,0.005204291083,
711.956543,-0.0002733732981,711.956543,0.006906749681,711.956543,0.006568362471,711.956543,0.005962442607,711.956543,0.00448904559,711.956543,0.006404035259,711.956543,0.006374350749,711.956543,0.006372590549,
710.953125,-2.650642273E-5,710.953125,0.007294545881,710.953125,0.007580022793,710.953125,0.006364316214,710.953125,0.004566706251,710.953125,0.006483773701,710.953125,0.006574669387,710.953125,0.005820407998,
709.9493408,-6.13971788E-5,709.9493408,0.006714584772,709.9493408,0.006855755113,709.9493408,0.006280765403,709.9493408,0.004868378863,709.9493408,0.005864092149,709.9493408,0.006945861038,709.9493408,0.005577590317,
708.9451904,-0.00101344299,708.9451904,0.007105182856,708.9451904,0.007165285759,708.9451904,0.006235989276,708.9451904,0.004764073063,708.9451904,0.005660743453,708.9451904,0.006540111732,708.9451904,0.005878024269,
707.9407349,-0.001269196393,707.9407349,0.007252744865,707.9407349,0.006920084357,707.9407349,0.005467320792,707.9407349,0.004233090207,707.9407349,0.005450019613,707.9407349,0.006272912957,707.9407349,0.005912319757,
706.9359741,-4.478041592E-5,706.9359741,0.007755178027,706.9359741,0.007338299416,706.9359741,0.00615595514,706.9359741,0.004945741035,706.9359741,0.006436008029,706.9359741,0.008106570691,706.9359741,0.005574443843,
705.9308472,-0.0007716478431,705.9308472,0.00693476107,705.9308472,0.007735730615,705.9308472,0.00607047556,705.9308472,0.004862331785,705.9308472,0.005884137936,705.9308472,0.009099408984,705.9308472,0.005858083721,
705.0690918,-0.0008525195299,705.0690918,0.006867931224,705.0690918,0.007034538314,705.0690918,0.006334634498,705.0690918,0.004421937279,705.0690918,0.006282262504,705.0690918,0.007721975446,705.0690918,0.005081780255,
704.0633545,-0.0007052338915,704.0633545,0.007278778125,704.0633545,0.007719972637,704.0633545,0.006567547563,704.0633545,0.004553731531,704.0633545,0.006079952233,704.0633545,0.006895677187,704.0633545,0.006271310616,
703.057251,-0.0007870998816,703.057251,0.007157706656,703.057251,0.007369261235,703.057251,0.006507054437,703.057251,0.004811524414,703.057251,0.006326018833,703.057251,0.006037532818,703.057251,0.006007951684,
702.0508423,0.0001717614796,702.0508423,0.007270907052,702.0508423,0.007836403325,702.0508423,0.006122743245,702.0508423,0.004889661912,702.0508423,0.007062742021,702.0508423,0.00657141069,702.0508423,0.006388640963,
701.0441284,-0.0005178247229,701.0441284,0.007253060583,701.0441284,0.007471218705,701.0441284,0.006492681336,701.0441284,0.004703725688,701.0441284,0.006372459233,701.0441284,0.006341673899,701.0441284,0.0063862768,
700.0370483,0.0008550003404,700.0370483,0.007681529503,700.0370483,0.007935122587,700.0370483,0.007351726294,700.0370483,0.005444174167,700.0370483,0.006762118544,700.0370483,0.006109091453,700.0370483,0.006586627569,
699.0296631,-0.0008281304035,699.0296631,0.007228055503,699.0296631,0.007538141683,699.0296631,0.006724995561,699.0296631,0.005101214163,699.0296631,0.006617036182,699.0296631,0.005713696126,699.0296631,0.006224014796,
