baseline,,bm3_NotCentrifuged,,bm3_NotCentrifuged_palmOH_ul_10,,bm3_NotCentrifuged_palmOH_ul_20,,bm3_NotCentrifuged_palmOH_ul_30,,bm3_NotCentrifuged_palmOH_ul_40,,bm3_NotCentrifuged_palmOH_ul_50,,bm3_NotCentrifuged_palmOH_ul_60,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
776.0174561,-0.001219431055,776.0174561,0.013964599,776.0174561,0.008808256127,776.0174561,0.02009612508,776.0174561,0.01025953516,776.0174561,0.008692118339,776.0174561,0.04834296554,776.0174561,0.3309600353,
775.0366821,0.0008407093119,775.0366821,0.01632702351,775.0366821,0.007807859685,775.0366821,0.02100078948,775.0366821,0.0120671792,775.0366821,0.00862110965,775.0366821,0.04799257219,775.0366821,0.327270627,
774.055542,-0.001267131651,774.055542,0.01537659578,774.055542,0.008180819452,774.055542,0.02139028721,774.055542,0.01166355982,774.055542,0.00802787859,774.055542,0.04825860262,774.055542,0.3228656054,
772.9338379,-5.332182263E-5,772.9338379,0.0137951253,772.9338379,0.007695704699,772.9338379,0.02255068719,772.9338379,0.01126206759,772.9338379,0.007429427002,772.9338379,0.04633649811,772.9338379,0.3121735454,
771.9519043,-0.0001004777077,771.9519043,0.01658910699,771.9519043,0.008352099918,771.9519043,0.02285807952,771.9519043,0.01146316621,771.9519043,0.008197859861,771.9519043,0.04648003355,771.9519043,0.3219729662,
770.9696045,-6.32089359E-5,770.9696045,0.01587933861,770.9696045,0.008220467716,770.9696045,0.02422923408,770.9696045,0.0114458371,770.9696045,0.007773309015,770.9696045,0.04652440175,770.9696045,0.309495002,
769.9869385,-0.0002140242141,769.9869385,0.01550843101,769.9869385,0.008387436159,769.9869385,0.02340808138,769.9869385,0.01104903407,769.9869385,0.007225871086,769.9869385,0.04672147334,769.9869385,0.312235266,
769.0039673,-0.001703523565,769.0039673,0.01515067834,769.0039673,0.008714038879,769.0039673,0.02412318438,769.0039673,0.01072863117,769.0039673,0.007721369155,769.0039673,0.04490149021,769.0039673,0.3193943501,
768.0205688,0.0001790124807,768.0205688,0.01549351495,768.0205688,0.008299431764,768.0205688,0.02446091175,768.0205688,0.01264412981,768.0205688,0.008958273567,768.0205688,0.04641328752,768.0205688,0.3200385869,
767.0368652,-0.0004043576191,767.0368652,0.01573939249,767.0368652,0.008824766614,767.0368652,0.02391892858,767.0368652,0.01192677952,767.0368652,0.007980391383,767.0368652,0.04608868062,767.0368652,0.3212048411,
766.0527344,0.0003219595528,766.0527344,0.01626574807,766.0527344,0.009042975493,766.0527344,0.02470498718,766.0527344,0.01299336832,766.0527344,0.008794862777,766.0527344,0.04909175634,766.0527344,0.3265745044,
765.0682983,-0.001692951773,765.0682983,0.0155741889,765.0682983,0.008267348632,765.0682983,0.02365033701,765.0682983,0.01139566209,765.0682983,0.007252665702,765.0682983,0.04532875493,765.0682983,0.319214195,
763.942749,-0.0002533497172,763.942749,0.01578518562,763.942749,0.008372816257,763.942749,0.02314635739,763.942749,0.01134342048,763.942749,0.008347482421,763.942749,0.04767730087,763.942749,0.3191540241,
762.9575195,0.0002325700334,762.9575195,0.01610034332,762.9575195,0.008936287835,762.9575195,0.02361707203,762.9575195,0.01146425586,762.9575195,0.007821855135,762.9575195,0.04658102617,762.9575195,0.3273748159,
761.9719238,-0.0002233902196,761.9719238,0.01681488566,761.9719238,0.008047840558,761.9719238,0.02382230572,761.9719238,0.01252824161,761.9719238,0.008167524822,761.9719238,0.04768781736,761.9719238,0.3329570591,
760.9859619,6.658381608E-5,760.9859619,0.01577726752,760.9859619,0.008419396356,760.9859619,0.02389740385,760.9859619,0.01132455561,760.9859619,0.007335535251,760.9859619,0.04810536653,760.9859619,0.3288639486,
759.9996338,-0.0006469776854,759.9996338,0.01597512327,759.9996338,0.007121023722,759.9996338,0.023820173,759.9996338,0.01071066782,759.9996338,0.007643300574,759.9996338,0.04813535511,759.9996338,0.319731921,
759.0129395,4.706324034E-5,759.0129395,0.01559946407,759.0129395,0.007854169235,759.0129395,0.0236747209,759.0129395,0.01176591869,759.0129395,0.008885424584,759.0129395,0.04857750982,759.0129395,0.3327704072,
758.0259399,4.874601291E-5,758.0259399,0.01505815797,758.0259399,0.008562996052,758.0259399,0.02455553971,758.0259399,0.01265473757,758.0259399,0.008286423981,758.0259399,0.0483407937,758.0259399,0.3331088424,
757.0385742,0.0001767594658,757.0385742,0.01703962497,757.0385742,0.009306436405,757.0385742,0.02308302,757.0385742,0.01300320961,757.0385742,0.008016065694,757.0385742,0.04775669798,757.0385742,0.3405777514,
756.0507813,0.0008133216179,756.0507813,0.01720035076,756.0507813,0.01081386488,756.0507813,0.02496485598,756.0507813,0.0141788274,756.0507813,0.00984003488,756.0507813,0.04864601046,756.0507813,0.3256830573,
