baseline,,bm3_none,,bm3_none1,,lauricacid_10mM_ul05,,lauricacid_10mM_ul5,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
759.9996338,0.0004742309102,759.9996338,0.1369309574,759.9996338,0.004914768506,759.9996338,0.791651547,759.9996338,1.675120473,
759.0129395,0.0004740754084,759.0129395,0.1377327442,759.0129395,0.00337755098,759.0129395,0.8514661193,759.0129395,1.658256531,
758.0259399,-0.0004464069789,758.0259399,0.1347551942,758.0259399,0.004358787555,758.0259399,0.8531422019,758.0259399,1.651226163,
757.0385742,-0.001005075406,757.0385742,0.1362428814,757.0385742,0.004481486976,757.0385742,0.7792847753,757.0385742,1.624464631,
756.0507813,0.0003824264277,756.0507813,0.1362399161,756.0507813,0.003624779638,756.0507813,0.836230278,756.0507813,1.639327884,
755.0626831,-0.0001784212072,755.0626831,0.1277092844,755.0626831,0.003900017822,755.0626831,0.8590105176,755.0626831,1.634642005,
753.9329834,-0.00101685198,753.9329834,0.1365821362,753.9329834,0.003884659847,753.9329834,0.8374196291,753.9329834,1.669680715,
752.9441528,5.17719414E-8,752.9441528,0.1362396628,752.9441528,0.003950091545,752.9441528,0.8438555598,752.9441528,1.644505143,
751.954895,0.0001757495047,751.954895,0.1363155097,751.954895,0.004751903471,751.954895,0.8488339186,751.954895,1.608488798,
750.965332,1.801700819E-5,750.965332,0.1302053034,750.965332,0.00354285026,750.965332,0.802872777,750.965332,1.653324723,
749.9754028,-0.0005693250569,749.9754028,0.1311753243,749.9754028,0.003736331826,749.9754028,0.8140980005,749.9754028,1.635167718,
748.9851074,0.0003396531392,748.9851074,0.1347018778,748.9851074,0.004280039575,748.9851074,0.8086756468,748.9851074,1.671456575,
747.9945068,-9.732033504E-5,747.9945068,0.1353486627,747.9945068,0.004109859932,747.9945068,0.8502081633,747.9945068,1.664110303,
747.003479,-0.0005514867953,747.003479,0.1366157532,747.003479,0.004718353972,747.003479,0.8367419839,747.003479,1.642508864,
746.012146,-0.001251180423,746.012146,0.1386891901,746.012146,0.00451088557,746.012146,0.8036990166,746.012146,1.664763451,
745.0204468,-0.0003195741156,745.0204468,0.1372353882,745.0204468,0.004674654454,745.0204468,0.8328577876,745.0204468,1.674777746,
744.0283813,0.0003319849784,744.0283813,0.1372310817,744.0283813,0.005473585799,744.0283813,0.8247449994,744.0283813,1.648019671,
743.0360107,0.0007062513032,743.0360107,0.135584414,743.0360107,0.006012124941,743.0360107,0.8075963259,743.0360107,1.636971354,
742.0432129,0.0001155185528,742.0432129,0.1296419501,742.0432129,0.004769333638,742.0432129,0.8383880854,742.0432129,1.6264745,
741.0501099,-0.0001871152344,741.0501099,0.1352238804,741.0501099,0.004481748212,741.0501099,0.8241553307,741.0501099,1.676497579,
740.0567017,0.0005678691668,740.0567017,0.1370944083,740.0567017,0.005361875053,740.0567017,0.8131050467,740.0567017,1.64860034,
739.0628662,0.0003738766245,739.0628662,0.1371055543,739.0628662,0.005622062832,739.0628662,0.8044347167,739.0628662,1.661115766,
738.0687256,0.0008645452908,738.0687256,0.1380177438,738.0687256,0.005357366987,738.0687256,0.8443641067,738.0687256,1.665304542,
736.9321289,0.001523989136,736.9321289,0.1371245533,736.9321289,0.006949596107,736.9321289,0.8248637319,736.9321289,1.675607443,
735.9372559,-0.0001022892975,735.9372559,0.1366751045,735.9372559,0.006149207242,735.9372559,0.8318448067,735.9372559,1.647362232,
734.9420166,-0.0002686132502,734.9420166,0.1394200027,734.9420166,0.005826311186,734.9420166,0.8258832693,734.9420166,1.695801139,
733.9464111,0.0008576718974,733.9464111,0.1400479823,733.9464111,0.005937800277,733.9464111,0.7970196605,733.9464111,1.677068233,
732.9504395,0.000709959073,732.9504395,0.1394105107,732.9504395,0.006373746786,732.9504395,0.8212337494,732.9504395,1.68081224,
731.9541626,-0.0001188003444,731.9541626,0.1325225085,731.9541626,0.006529652979,731.9541626,0.8453829288,731.9541626,1.678358316,
730.9575195,0.0004199957766,730.9575195,0.1409332454,730.9575195,0.005789110437,730.9575195,0.8173446059,730.9575195,1.672988892,
729.9605713,0.0004227164318,729.9605713,0.1429397762,729.9605713,0.006763038691,729.9605713,0.8369264603,729.9605713,1.685898423,
728.9632568,-0.0003724946,728.9632568,0.1307236701,728.9632568,0.005176260136,728.9632568,0.842312634,728.9632568,1.683092356,
727.9655762,-9.897666314E-5,727.9655762,0.1348919123,727.9655762,0.006423029583,727.9655762,0.8223742843,727.9655762,1.679432511,
726.9675903,0.001011584187,726.9675903,0.1402357817,726.9675903,0.00733564049,726.9675903,0.8321247101,726.9675903,1.703104496,
725.9692383,-0.0003340593248,725.9692383,0.1333992779,725.9692383,0.007323082536,725.9692383,0.844332099,725.9692383,1.684884071,
724.97052,0.0002138707496,724.97052,0.1405691504,724.97052,0.006091056392,724.97052,0.8448826075,724.97052,1.692478776,
723.9714966,9.545205103E-5,723.9714966,0.1378548741,723.9714966,0.006265033968,723.9714966,0.8396696448,723.9714966,1.681579351,
722.9721069,0.0006809462211,722.9721069,0.1342824101,722.9721069,0.006825171877,722.9721069,0.8300048709,722.9721069,1.685475826,
721.9724121,0.0003213637392,721.9724121,0.1417144537,721.9724121,0.006732619833,721.9724121,0.8270013928,721.9724121,1.703753948,
720.9723511,-0.0004167194129,720.9723511,0.1384605765,720.9723511,0.006340124179,720.9723511,0.8113853335,720.9723511,1.695148587,
719.9719238,3.049474071E-5,719.9719238,0.1389122605,719.9719238,0.006756281946,719.9719238,0.8372598886,719.9719238,1.688539624,
718.9711914,0.0001197132151,718.9711914,0.1391370744,718.9711914,0.007093973923,718.9711914,0.8113347292,718.9711914,1.701601863,
717.9701538,0.0001719427528,717.9701538,0.1380500793,717.9701538,0.007141838316,717.9701538,0.8306455612,717.9701538,1.699323773,
716.968689,0.0004741013399,716.968689,0.138494119,716.968689,0.007148496341,716.968689,0.8428847194,716.968689,1.70141387,
715.9669189,0.0004007443204,715.9669189,0.1408130229,715.9669189,0.006595852319,715.9669189,0.81525141,715.9669189,1.69436574,
714.9648438,8.47848205E-5,714.9648438,0.1427654624,714.9648438,0.007463028654,714.9648438,0.8439896107,714.9648438,1.703106403,
713.9624023,-0.0003381978895,713.9624023,0.1346927732,713.9624023,0.007171759848,713.9624023,0.8563058972,713.9624023,1.698117256,
712.9596558,0.000402687554,712.9596558,0.1366478056,712.9596558,0.007481173612,712.9596558,0.8473819494,712.9596558,1.704556227,
711.956543,0.0003016762785,711.956543,0.1459837109,711.956543,0.007380451076,711.956543,0.8331320286,711.956543,1.709034681,
