baseline,,bm3,,bm4,,bm5,,bm3_Prediluted,,bm3_Prediluted_10mMLauric_ul_05,,bm3_Prediluted_10mMLauric_ul_10,,bm3_Prediluted_10mMLauric_ul_20,,bm3_Prediluted_10mMLauric_ul_30,,bm3_Prediluted_10mMLauric_ul_30,,bm3_Prediluted_10mMLauric_ul_30,,bm3_Prediluted_10mMLauric_ul_70,,bm3_Prediluted_10mMLauric_ul_70,,bm3_Prediluted_10mMLauric_ul_120,,bm3_Prediluted_10mMLauric_ul_170,,bm3_Prediluted_10mMLauric_ul_220,,bm3_Prediluted_10mMLauric_ul_220,,bm3_Prediluted_10mMLauric_ul_220,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
790.9633789,-0.00209125434,790.9633789,0.01900245249,790.9633789,0.0145036336,790.9633789,0.001860521152,790.9633789,0.001976743806,790.9633789,0.003299293807,790.9633789,0.004564404488,790.9633789,0.01265585702,790.9633789,0.144815281,790.9633789,0.2485487163,790.9633789,0.01696247421,790.9633789,0.02368398756,790.9633789,0.03271451965,790.9633789,0.007903989404,790.9633789,0.1628720164,790.9633789,0.4622584581,790.9633789,0.1190148517,790.9633789,0.2103829831,
789.9882202,-0.0009704154218,789.9882202,0.01946926117,789.9882202,0.01404039003,789.9882202,0.003541806247,789.9882202,0.003106032964,789.9882202,0.003495876445,789.9882202,0.003329525469,789.9882202,0.01368437894,789.9882202,0.1454205811,789.9882202,0.2557559013,789.9882202,0.02011529356,789.9882202,0.02490752935,789.9882202,0.0319913812,789.9882202,0.006781917065,789.9882202,0.1659463793,789.9882202,0.402036041,789.9882202,0.1210047528,789.9882202,0.231812194,
789.0127563,0.000565069844,789.0127563,0.02085663006,789.0127563,0.01397804543,789.0127563,0.003760614432,789.0127563,0.003004364902,789.0127563,0.003878835356,789.0127563,0.00416777283,789.0127563,0.01305421162,789.0127563,0.1497311592,789.0127563,0.244282499,789.0127563,0.01863424666,789.0127563,0.0245308876,789.0127563,0.03487364575,789.0127563,0.007570355665,789.0127563,0.1664053798,789.0127563,0.4183704853,789.0127563,0.1214134693,789.0127563,0.2350264788,
788.0368652,-2.572989069E-5,788.0368652,0.02119484171,788.0368652,0.01544005424,788.0368652,0.003327699378,788.0368652,0.001812533243,788.0368652,0.003064606804,788.0368652,0.003509628819,788.0368652,0.01401400194,788.0368652,0.1473283321,788.0368652,0.2420826554,788.0368652,0.01969613694,788.0368652,0.0245905742,788.0368652,0.03626638651,788.0368652,0.00841485709,788.0368652,0.1645789444,788.0368652,0.4077375233,788.0368652,0.1213491783,788.0368652,0.2339336127,
787.0606689,0.0008841804811,787.0606689,0.02143126912,787.0606689,0.01385968924,787.0606689,0.003143447451,787.0606689,0.003471686738,787.0606689,0.004535133019,787.0606689,0.004407057539,787.0606689,0.0159049537,787.0606689,0.14652282,787.0606689,0.2582407296,787.0606689,0.0184807945,787.0606689,0.02482633665,787.0606689,0.0319798477,787.0606689,0.008322968148,787.0606689,0.1638470143,787.0606689,0.4238365889,787.0606689,0.1203961223,787.0606689,0.2188280225,
785.944458,0.001386047457,785.944458,0.02090364508,785.944458,0.01475146785,785.944458,0.003670201171,785.944458,0.003734921804,785.944458,0.003837387776,785.944458,0.00407960033,785.944458,0.01560032275,785.944458,0.1466762871,785.944458,0.2467731684,785.944458,0.01772613451,785.944458,0.02709449269,785.944458,0.0332955718,785.944458,0.007034775335,785.944458,0.1642023474,785.944458,0.4089855552,785.944458,0.1171238795,785.944458,0.2239339203,
784.9674683,-1.837864875E-5,784.9674683,0.02188602462,784.9674683,0.01328563318,784.9674683,0.002243731637,784.9674683,0.001749111922,784.9674683,0.003328664461,784.9674683,0.004570892081,784.9674683,0.01331907697,784.9674683,0.1447892636,784.9674683,0.256016314,784.9674683,0.01676171832,784.9674683,0.02464602329,784.9674683,0.03288497776,784.9674683,0.007663297001,784.9674683,0.1680416167,784.9674683,0.4032647014,784.9674683,0.1168310568,784.9674683,0.2094581127,
783.9900513,-0.001060753013,783.9900513,0.02214045264,783.9900513,0.01487944368,783.9900513,0.00238509546,783.9900513,0.002083217492,783.9900513,0.002812173218,783.9900513,0.004478505347,783.9900513,0.01351522841,783.9900513,0.1453151852,783.9900513,0.2480426431,783.9900513,0.01741240919,783.9900513,0.02510191128,783.9900513,0.03416869789,783.9900513,0.009608271532,783.9900513,0.1728233844,783.9900513,0.3883674443,783.9900513,0.1146544516,783.9900513,0.220949173,
783.0122681,-0.0003589417902,783.0122681,0.02128843591,783.0122681,0.0150531726,783.0122681,0.003134034807,783.0122681,0.003912241664,783.0122681,0.003820412792,783.0122681,0.004384882748,783.0122681,0.01527265832,783.0122681,0.1463935375,783.0122681,0.2387003154,783.0122681,0.01805433445,783.0122681,0.02472244203,783.0122681,0.03405347094,783.0122681,0.008490319364,783.0122681,0.1729742438,783.0122681,0.4258391261,783.0122681,0.1139097586,783.0122681,0.2137252837,
782.0341187,-0.0007040450582,782.0341187,0.02347048372,782.0341187,0.01580193639,782.0341187,0.0044549671,782.0341187,0.00456851162,782.0341187,0.00360700395,782.0341187,0.004045658279,782.0341187,0.01529743336,782.0341187,0.1419114769,782.0341187,0.2303014696,782.0341187,0.01760931313,782.0341187,0.02431858331,782.0341187,0.03026041947,782.0341187,0.00805588346,782.0341187,0.1721917838,782.0341187,0.4398497939,782.0341187,0.1123450026,782.0341187,0.2288167924,
