baseline,,sample,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0101318,0.001721536973,800.0101318,0.007821881212,
799.0389404,-0.001115442254,799.0389404,0.004534007981,
798.0673218,0.00107814162,798.0673218,0.006716425065,
796.9564209,-0.0003465783375,796.9564209,0.007395485416,
795.9840088,0.0001889827981,795.9840088,0.006135397591,
795.0111694,-0.001214474905,795.0111694,0.002722712466,
794.0380249,-8.707166853E-5,794.0380249,0.007311209571,
793.0644531,-0.001518763136,793.0644531,0.005210735835,
791.951355,-0.001421193243,791.951355,0.004205043428,
790.9769897,0.001667483593,790.9769897,0.008009447716,
790.0022583,-0.0006829041522,790.0022583,0.005750575569,
789.0271606,2.593851423E-5,789.0271606,0.006799560506,
788.0516968,-0.002188828541,788.0516968,0.00420642877,
786.9364014,-0.0005196345737,786.9364014,0.005739978515,
785.960144,-0.0002612143871,785.960144,0.006338626612,
784.9835205,-0.0002517457178,784.9835205,0.006913614459,
784.0064697,0.001412016922,784.0064697,0.006658460945,
783.0291138,-0.0002728559193,783.0291138,0.00578053249,
782.0513306,-0.0009767691372,782.0513306,0.005812616087,
780.9334717,1.092401635E-5,780.9334717,0.007132049184,
779.9549561,-0.0006716871285,779.9549561,0.005597518291,
778.9760132,0.001338059898,778.9760132,0.008147847839,
777.9967651,0.002104390413,777.9967651,0.006641848478,
777.0170898,0.0008846214041,777.0170898,0.007986086421,
776.0371094,1.164870127E-6,776.0371094,0.007758683059,
775.0567017,0.001351146842,775.0567017,0.007007073145,
773.9358521,-0.000185045239,773.9358521,0.007636766881,
772.9547119,0.001362001058,772.9547119,0.00755202258,
771.9731445,-0.0002293926373,771.9731445,0.006118673831,
770.991272,-6.802300049E-5,770.991272,0.007210947573,
770.0090332,0.0004569205339,770.0090332,0.006730910856,
769.0264282,0.0007298465353,769.0264282,0.007427188568,
768.043396,-0.0005543305888,768.043396,0.008010264486,
767.0600586,-0.0004628532333,767.0600586,0.006562396418,
765.935791,-9.96495437E-5,765.935791,0.007243269123,
764.9517212,0.0003659746726,764.9517212,0.008583511226,
763.9672241,0.0006017995765,763.9672241,0.006908406503,
762.9823608,-0.0006284705596,762.9823608,0.006701414473,
761.9971924,0.00145133771,761.9971924,0.008365822956,
761.0116577,0.0001416711166,761.0116577,0.007802298758,
760.0256958,0.0003688245197,760.0256958,0.008090403862,
