baseline,,bm3WTHemeDomain_5in1000,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
702.9951172,0.0003355081717,702.9951172,0.005764976609,
701.9957886,-6.036188279E-005,701.9957886,0.005692215636,
700.9962769,-5.575479736E-005,700.9962769,0.005664100405,
699.9962769,-0.0004464586964,699.9962769,0.006234807428,
698.9960938,0.0002187397331,698.9960938,0.005808287766,
697.9954834,0.0001242445287,697.9954834,0.005831033457,
696.9945679,0.0003244723775,696.9945679,0.005789477844,
695.9932861,1.721451008E-005,695.9932861,0.006196758244,
694.9917603,-0.0005430585588,694.9917603,0.005311795045,
693.9898682,-7.966970588E-005,693.9898682,0.005368531682,
692.9876709,-0.0002381891245,692.9876709,0.005869811866,
691.9850464,-0.0001888747211,691.9850464,0.005693133455,
690.9821167,0.001154857571,690.9821167,0.006794590503,
690.0147705,-0.0003495787096,690.0147705,0.005601871293,
689.0112915,-0.0001440056512,689.0112915,0.006399595644,
688.0074463,0.0006409952184,688.0074463,0.005450019613,
687.0032349,0.0002438366064,687.0032349,0.006288040429,
685.9987793,0.0003444458125,685.9987793,0.006137130316,
684.9938965,0.0001017437753,684.9938965,0.006137996912,
683.9888306,-0.0006772181368,683.9888306,0.005958768539,
682.9833374,0.00108180067,682.9833374,0.006878293119,
682.0134277,-0.0005304935621,682.0134277,0.005282578059,
681.0073242,0.0006926911301,681.0073242,0.006779787131,
680.0008545,0.0009692159365,680.0008545,0.007368128747,
678.9942017,0.0002020610991,678.9942017,0.006503980141,
677.9871216,0.0007352917455,677.9871216,0.007807886228,
677.015686,-0.0009205641109,677.015686,0.006512572523,
676.0079956,2.347920781E-005,676.0079956,0.005873563699,
675.000061,0.0009354124777,675.000061,0.007353859022,
673.9916992,-0.0001243383886,673.9916992,0.006697444711,
672.9830322,0.0004426166706,672.9830322,0.007114024367,
672.0100708,-0.0007033214206,672.0100708,0.006269761361,
671.0008545,0.0002232979896,671.0008545,0.006698943209,
669.991272,-0.000548798067,669.991272,0.00663701212,
669.017395,-0.0001399687608,669.017395,0.007148864679,
668.0071411,0.0001857974421,668.0071411,0.007144127972,
666.9966431,6.697216304E-005,666.9966431,0.006964273751,
665.9858398,-0.000224062911,665.9858398,0.007342353929,
665.0108032,0.0003667777928,665.0108032,0.006907591131,
663.9993286,0.00016629741,663.9993286,0.006892179139,
662.9875488,0.0002202418837,662.9875488,0.007472035009,
662.0115967,0.000166970698,662.0115967,0.007159627974,
660.9992676,0.000448110135,660.9992676,0.007482674904,
659.9865723,-1.925873403E-005,659.9865723,0.007545806468,
659.0097046,0.0005389954313,659.0097046,0.007801797707,
657.9963989,0.0005976780085,657.9963989,0.007402752992,
656.9827881,0.0002931798808,656.9827881,0.007039194927,
656.0050659,-0.0005639477749,656.0050659,0.006816652138,
654.9907837,0.0005085167941,654.9907837,0.007866794243,
654.0125732,-4.49357176E-005,654.0125732,0.008176308125,
652.9976807,-0.0006451683585,652.9976807,0.007364206016,
651.982605,0.0005883722333,651.982605,0.00716607552,
651.0033569,-5.855011477E-005,651.0033569,0.008197939023,
649.9876709,4.623479981E-005,649.9876709,0.007884693332,
649.0078735,0.00101464591,649.0078735,0.007513356861,
647.9914551,0.000171088177,647.9914551,0.007630786393,
647.0111694,0.0007007286767,647.0111694,0.007422659546,
645.9942627,-6.175952876E-005,645.9942627,0.007741158828,
645.0133057,0.0004939780338,645.0133057,0.007917012088,
643.9957275,0.001239816193,643.9957275,0.008602864109,
643.0142822,0.000829712546,643.0142822,0.008181610145,
641.9960938,-2.112243601E-005,641.9960938,0.0075049554,
641.0140381,-0.0001470074203,641.0140381,0.007843942381,
639.9953003,-0.000531682861,639.9953003,0.007794128731,
639.0126343,0.0003028678766,639.0126343,0.008003145456,
637.9932861,-6.92653266E-005,637.9932861,0.008902915753,
637.0101318,0.0001665045711,637.0101318,0.008341650479,
635.9901733,-0.0003200397186,635.9901733,0.007906414568,
635.0064697,0.0001872735738,635.0064697,0.007838011719,
633.9859009,-0.0001000636257,633.9859009,0.007634764537,
633.0015259,6.20530991E-005,633.0015259,0.00824737642,
632.0169678,0.0004399477039,632.0169678,0.008526986465,
630.9955444,0.0002594030811,630.9955444,0.007836166769,
630.0103149,6.308868615E-005,630.0103149,0.007677630056,
628.9883423,0.0005608968204,628.9883423,0.008366244845,
628.0026245,-0.0003674252948,628.0026245,0.008230492473,
627.0165405,-4.736873962E-005,627.0165405,0.00728641171,
625.9936523,3.675962944E-005,625.9936523,0.008032097481,
625.0071411,-0.0001087074634,625.0071411,0.007683005184,
623.9837036,4.354238263E-005,623.9837036,0.008207673207,
622.996521,-0.0005458507803,622.996521,0.007693939377,
622.0091553,0.0005860652891,622.0091553,0.008346716873,
620.9848633,-0.0001452995202,620.9848633,0.008050213568,
619.9968262,0.0005893054185,619.9968262,0.007943032309,
619.008606,0.0001694826205,619.008606,0.008865054697,
617.9834595,-1.195915229E-005,617.9834595,0.007654945366,
616.9946289,-0.0002629735682,616.9946289,0.008024345152,
616.0056152,0.0005441272515,616.0056152,0.008922521025,
615.0161743,0.0003413111554,615.0161743,0.008422748186,
613.9899902,0.0003962101182,613.9899902,0.009001692757,
613,0.0004548733996,613,0.008452890441,
612.0098877,-0.0003635973844,612.0098877,0.009411706589,
610.9828491,0.0007743957103,610.9828491,0.008939221501,
609.9920654,-0.000564516522,609.9920654,0.008860510774,
609.0010376,0.000657431432,609.0010376,0.009892598726,
608.0098267,0.0002033300989,608.0098267,0.009539097548,
607.0182495,-0.0004795057175,607.0182495,0.01020552125,
605.9897461,-0.0001092768071,605.9897461,0.00955195725,
604.9977417,6.402072177E-005,604.9977417,0.01046178676,
604.0053711,0.0006910318043,604.0053711,0.01109473407,
603.0128174,-0.0003612695727,603.0128174,0.01055288315,
601.9832153,-0.0003179186024,601.9832153,0.01080951281,
600.9900513,-0.0003611143911,600.9900513,0.01147993747,
599.9966431,-0.0001580309618,599.9966431,0.01201781072,
599.0029907,-0.0004655425146,599.0029907,0.01204719208,
598.0090942,-0.0001008400213,598.0090942,0.01242604852,
597.0148926,5.084301665E-005,597.0148926,0.01341293659,
595.9836426,3.613831359E-005,595.9836426,0.01409950852,
594.9889526,0.0003750942997,594.9889526,0.01473181136,
593.9939575,0.0004876028688,593.9939575,0.01484108437,
