baseline,,bm3wthemeDil2uM,,bm3wthemeDil5uM1,,bm3wthemeDil10uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
749.9992065,-0.0001963783288,749.9992065,0.003173537785,749.9992065,0.004070088733,749.9992065,0.006868194323,
749.0162354,-0.0002583168971,749.0162354,0.003124126932,749.0162354,0.004181075841,749.0162354,0.007249164861,
747.9977417,-0.0008123181178,747.9977417,0.002332989359,747.9977417,0.003501356347,747.9977417,0.005900538061,
747.0140381,0.0005566719337,747.0140381,0.002755300608,747.0140381,0.004552580416,747.0140381,0.007263326086,
745.994812,-0.000706836232,745.994812,0.002496485831,745.994812,0.004459622316,745.994812,0.006447331514,
745.010376,0.0009903346654,745.010376,0.003203630447,745.010376,0.004867305979,745.010376,0.008919931948,
743.9903564,-2.060474253E-005,743.9903564,0.004181807861,743.9903564,0.005158682819,743.9903564,0.008641996421,
743.005188,-0.000208383819,743.005188,0.002404981758,743.005188,0.00463475287,743.005188,0.007572252303,
741.9845581,-0.0004343046458,741.9845581,0.004252251238,741.9845581,0.004650712945,741.9845581,0.006902778056,
740.9985962,-0.000130497443,740.9985962,0.003803830361,740.9985962,0.004119006451,740.9985962,0.008046917617,
740.0124512,0.000464953715,740.0124512,0.003833705559,740.0124512,0.005460636225,740.0124512,0.008712533861,
738.9906006,0.0001169426614,738.9906006,0.003839738201,738.9906006,0.005385147873,738.9906006,0.00765291648,
738.0036621,-0.0004227191675,738.0036621,0.003535986412,738.0036621,0.005308650434,738.0036621,0.008558719419,
737.0164185,-0.0002099879785,737.0164185,0.003380420618,737.0164185,0.005440976471,737.0164185,0.007035091054,
735.9934692,-8.008380246E-005,735.9934692,0.004332954995,735.9934692,0.00449307356,735.9934692,0.008315817453,
735.0054932,0.001125840936,735.0054932,0.00413303962,735.0054932,0.005280586425,735.0054932,0.008247666992,
734.0172119,-0.0002560402791,734.0172119,0.003906782717,734.0172119,0.004967735149,734.0172119,0.009154474363,
732.9931641,-8.836570487E-005,732.9931641,0.003462058259,732.9931641,0.004746355582,732.9931641,0.008848779835,
732.0041504,0.001019523828,732.0041504,0.004557079636,732.0041504,0.005646870472,732.0041504,0.009295064956,
731.0147705,0.0001847874664,731.0147705,0.003733668476,731.0147705,0.00539951073,731.0147705,0.009153654799,
729.9896851,0.00013897811,729.9896851,0.003845875384,729.9896851,0.005428735632,729.9896851,0.009062508121,
728.9995728,-8.148138295E-005,728.9995728,0.003330907784,728.9995728,0.006059503183,728.9995728,0.009371289052,
728.0090942,-0.0007451351266,728.0090942,0.003316900227,728.0090942,0.004498801194,728.0090942,0.008245793171,
726.9829712,-0.0002293926373,726.9829712,0.003566234605,726.9829712,0.005151950754,726.9829712,0.00901665166,
725.9918213,0.0001415934385,725.9918213,0.003880245844,725.9918213,0.005598567426,725.9918213,0.009539837949,
725.0003662,-0.0001175063953,725.0003662,0.003284530714,725.0003662,0.005418408196,725.0003662,0.009382926859,
724.0085449,-0.0006635197205,724.0085449,0.003581764176,724.0085449,0.005222420674,724.0085449,0.008413827978,
723.0164185,0.0005465635913,723.0164185,0.004619290587,723.0164185,0.006268290803,723.0164185,0.01102407463,
721.9884644,-0.00042266745,721.9884644,0.003435313702,721.9884644,0.005492145661,721.9884644,0.009607027285,
720.9956055,0.0001852795103,720.9956055,0.003399935085,720.9956055,0.005928064696,720.9956055,0.008886137977,
720.0023804,0.000183958764,720.0023804,0.003636212787,720.0023804,0.005558449775,720.0023804,0.01043969858,
719.0088501,-0.0001982930116,719.0088501,0.003421172267,719.0088501,0.005767206196,719.0088501,0.009837440215,
718.0150146,-0.0001268227206,718.0150146,0.003527922556,718.0150146,0.005162114277,718.0150146,0.009680103511,
716.9852295,-4.094967153E-005,716.9852295,0.003907279111,716.9852295,0.005895552225,716.9852295,0.009941753,
715.9906616,0.0004867476819,715.9906616,0.003848043038,715.9906616,0.005739794578,715.9906616,0.009793063626,
714.9957886,0.0002991895017,714.9957886,0.003836160293,714.9957886,0.006733697839,714.9957886,0.0102375634,
714.0005493,-0.0004023403744,714.0005493,0.004042052664,714.0005493,0.006173441652,714.0005493,0.01059688628,
713.0050049,-0.000103945611,713.0050049,0.003330516629,713.0050049,0.005254961085,713.0050049,0.009456653148,
712.0090332,-0.0004491480649,712.0090332,0.002945017302,712.0090332,0.005373196676,712.0090332,0.009975126013,
711.0128174,-0.0007777977153,711.0128174,0.003276810516,711.0128174,0.006162545178,711.0128174,0.009842232801,
710.0162354,-0.0003400602145,710.0162354,0.004298496526,710.0162354,0.006015222054,710.0162354,0.01006794814,
708.9837036,0.0002443805279,708.9837036,0.003740561428,708.9837036,0.006488660816,708.9837036,0.01044669934,
707.9863892,0.0003494457924,707.9863892,0.004314940888,707.9863892,0.005656416528,707.9863892,0.01105745137,
706.9888306,0.0007018176257,706.9888306,0.004080305807,706.9888306,0.007064689416,706.9888306,0.0112556126,
705.9909668,1.796523429E-005,705.9909668,0.00461782515,705.9909668,0.006399648264,705.9909668,0.01089370064,
704.9926147,0.0003628398408,704.9926147,0.003933033906,704.9926147,0.006366286427,704.9926147,0.01063243113,
703.9940796,6.355470396E-005,703.9940796,0.005029899999,703.9940796,0.006127468776,703.9940796,0.01070814766,
702.9951172,0.0001679288544,702.9951172,0.003228483023,702.9951172,0.006533147767,702.9951172,0.01019934658,
701.9957886,0.000613386801,701.9957886,0.005085656419,701.9957886,0.006412521005,701.9957886,0.01124214381,
700.9962769,0.0004160573008,700.9962769,0.003858437529,700.9962769,0.006225406658,700.9962769,0.01064492576,
699.9962769,0.0001704666647,699.9962769,0.004302888643,699.9962769,0.006023227703,699.9962769,0.01100373734,
698.9960938,1.819821773E-005,698.9960938,0.003993405029,698.9960938,0.006145637017,698.9960938,0.01076442562,
697.9954834,-0.0001175063953,697.9954834,0.003377916059,697.9954834,0.00638438575,697.9954834,0.01068103313,
696.9945679,0.0001635783556,696.9945679,0.004607150797,696.9945679,0.006264298689,696.9945679,0.01070533507,
695.9932861,0.0006090577808,695.9932861,0.003992020153,695.9932861,0.00642339699,695.9932861,0.0108655123,
694.9917603,0.0004275877727,694.9917603,0.004748134874,694.9917603,0.007624990772,694.9917603,0.01136473101,
693.9898682,0.0003056914138,693.9898682,0.004056422971,693.9898682,0.007183813024,693.9898682,0.01119533926,
692.9876709,0.0002085874439,692.9876709,0.004040014464,692.9876709,0.006362057291,692.9876709,0.0107257124,
691.9850464,0.0002296433522,691.9850464,0.004602886736,691.9850464,0.006666346919,691.9850464,0.0112417452,
690.9821167,0.0003575547016,690.9821167,0.004323516507,690.9821167,0.006736563519,690.9821167,0.01122899447,
690.0147705,0.000138667383,690.0147705,0.003749882802,690.0147705,0.006566286087,690.0147705,0.01076519582,
689.0112915,0.0002531090868,689.0112915,0.004374554381,689.0112915,0.006985422689,689.0112915,0.01131429989,
688.0074463,-9.405942546E-005,688.0074463,0.003752728924,688.0074463,0.007028776687,688.0074463,0.01145909913,
687.0032349,-0.0004707141197,687.0032349,0.004615365993,687.0032349,0.007289886475,687.0032349,0.01120272372,
