baseline,,samle,,sampledil2,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
667.9934082,-0.0008136616671,667.9934082,0.02409127913,667.9934082,0.01186489686,
665.9586792,0.0003585910017,665.9586792,0.02556530386,665.9586792,0.01325803623,
664.0681152,-0.0006329681491,664.0681152,0.02468246408,664.0681152,0.01358661428,
662.0310059,-0.0001903236989,662.0310059,0.02528427914,662.0310059,0.01343418844,
659.9925537,-0.0003314210044,659.9925537,0.02509220131,659.9925537,0.01258909982,
657.9529419,7.678457041E-5,657.9529419,0.02608276531,657.9529419,0.01396777947,
656.0578613,0.0001294232352,656.0578613,0.02532145754,656.0578613,0.01352249179,
654.0158081,-0.0007099891664,654.0158081,0.0258880537,654.0158081,0.01384699438,
651.9725342,-0.0004918136983,651.9725342,0.02575737052,651.9725342,0.01307440549,
649.9280396,0.0003942150797,649.9280396,0.02646133304,649.9280396,0.01435064431,
648.0284424,-0.0003658734204,648.0284424,0.02558968589,648.0284424,0.01325985137,
645.9815674,2.635271449E-5,645.9815674,0.02822135761,645.9815674,0.01384555176,
643.9334717,3.546392236E-6,643.9334717,0.02692678757,643.9334717,0.01463946048,
642.0306396,-9.577702258E-6,642.0306396,0.02758412622,642.0306396,0.01466294099,
639.9801636,0.0001384861243,639.9801636,0.02785190754,639.9801636,0.01493288949,
637.9285278,0.0009621073841,637.9285278,0.02760856599,637.9285278,0.01462071948,
636.0223999,0.0003715707862,636.0223999,0.02837096713,636.0223999,0.01467142906,
633.9684448,-0.0002575407852,633.9684448,0.0285904333,633.9684448,0.01485624537,
632.0601196,7.714086678E-6,632.0601196,0.02852115408,632.0601196,0.01555154379,
630.0038452,-0.0005858700606,630.0038452,0.02781492285,630.0038452,0.01474769227,
627.9464111,0.000511730439,627.9464111,0.02844845876,627.9464111,0.01574623771,
626.0348511,0.0003967542143,626.0348511,0.02848433517,626.0348511,0.01548576262,
623.9750977,-0.001018091571,623.9750977,0.02766056731,623.9750977,0.0148265129,
622.0614624,-0.0002282025089,622.0614624,0.02825624868,622.0614624,0.01525064558,
619.9994507,0.0006110278773,619.9994507,0.02905017696,619.9994507,0.01490170509,
617.9362793,-0.0004957438796,617.9362793,0.02938228473,617.9362793,0.01689507812,
616.0194702,-0.0001552362955,616.0194702,0.03067109548,616.0194702,0.01624903269,
613.9540405,0.0001070257786,613.9540405,0.03103144281,613.9540405,0.01712839492,
612.0351563,-0.000121698773,612.0351563,0.03225180134,612.0351563,0.01696462743,
609.9674683,-3.893074972E-5,609.9674683,0.03353233263,609.9674683,0.01804810017,
608.0465088,-0.0003660286311,608.0465088,0.03520923108,608.0465088,0.01808580011,
605.9766235,-0.0001263569138,605.9766235,0.03739470989,605.9766235,0.02010539733,
604.0535889,-0.0007508202689,604.0535889,0.03861728683,604.0535889,0.02041942067,
601.9815674,-0.0006779418327,601.9815674,0.04085816443,601.9815674,0.02184124291,
600.0564575,-8.826218254E-5,600.0564575,0.04359291494,600.0564575,0.02314245328,
597.9822388,0.0002100118581,597.9822388,0.04777657613,597.9822388,0.0251432173,
596.0551147,-0.0002915851946,596.0551147,0.05060191453,596.0551147,0.02563068084,
593.9786987,-0.00116320583,593.9786987,0.05394208804,593.9786987,0.02765670419,
592.0495605,-0.0001525968546,592.0495605,0.06114104018,592.0495605,0.03239268064,
589.9710083,-0.0001571511675,589.9710083,0.06827554852,589.9710083,0.03394740075,
588.039917,5.314714508E-5,588.039917,0.07699789107,588.039917,0.03864277899,
585.9591675,-2.86289378E-5,585.9591675,0.08742646873,585.9591675,0.04438455403,
584.026062,-0.000121802288,584.026062,0.1002579927,584.026062,0.05047520995,
581.9432373,-2.5626352E-5,581.9432373,0.1147700474,581.9432373,0.0577101931,
580.0081787,-0.000718000636,580.0081787,0.1312406361,580.0081787,0.06513420492,
