baseline,,bm3 sample,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
605.9766235,-1.496183177E-5,605.9766235,0.01971650682,
604.0535889,-0.0002913264907,604.0535889,0.02066107094,
601.9815674,-0.0006348292227,601.9815674,0.02217417583,
600.0564575,-0.0008053935599,600.0564575,0.02317666635,
597.9822388,-0.0006257306086,597.9822388,0.02483642288,
596.0551147,-6.92653266E-5,596.0551147,0.02680972219,
593.9786987,0.0005763191148,593.9786987,0.02888605744,
592.0495605,0.0005382437957,592.0495605,0.03177275509,
589.9710083,-0.0004628015158,589.9710083,0.03408275917,
588.039917,0.0004579570668,588.039917,0.03962149844,
585.9591675,0.0003739284293,585.9591675,0.04453705624,
584.026062,-6.989155281E-6,584.026062,0.0501800105,
581.9432373,0.0003023757017,581.9432373,0.058135245,
580.0081787,-0.001297535375,580.0081787,0.06465754658,
578.0721436,-0.0002758567862,578.0721436,0.07229342312,
575.9862061,0.0002910298936,575.9862061,0.07843774557,
574.0482178,-0.0003977886518,574.0482178,0.08350269496,
571.960144,-7.869262845E-6,571.960144,0.08777086437,
570.0202637,0.0001309768559,570.0202637,0.08901356161,
567.9301147,-0.0006955681602,567.9301147,0.0882781893,
565.9882813,1.848297507E-5,565.9882813,0.0863565281,
564.0455933,-8.370715659E-5,564.0455933,0.08470664173,
561.9523926,0.0002920401166,561.9523926,0.08228634298,
560.0077515,0.0002610089723,560.0077515,0.07958856225,
558.0621948,0.000144079313,558.0621948,0.07639632374,
555.9659424,-0.0001308079809,555.9659424,0.07415547967,
554.0185547,0.0002692457347,554.0185547,0.07413641363,
552.0701904,2.140822289E-5,552.0701904,0.07345021516,
549.9710083,0.0001966225391,549.9710083,0.07408612221,
548.020813,-0.0003301276884,548.020813,0.07570236176,
546.0697021,0.0001649249316,546.0697021,0.07836902887,
543.9675903,-0.0001354142732,543.9675903,0.08021312952,
542.0146484,7.743183232E-5,542.0146484,0.08261591196,
540.0608521,8.0616388E-5,540.0608521,0.08410803974,
537.9557495,0.0001777694415,537.9557495,0.08519014716,
536.0001221,-0.0009157078457,536.0001221,0.08470717072,
534.0436401,-6.72465394E-5,534.0436401,0.08522199094,
531.9356689,1.630819042E-6,531.9356689,0.08376748115,
529.977356,0.0002862378024,529.977356,0.0821813941,
528.0181885,0.0003848618653,528.0181885,0.08004093915,
526.0581665,-0.0005576397525,526.0581665,0.07652686536,
523.9464111,-0.001088640769,523.9464111,0.07221525162,
521.9846191,-2.308966941E-5,521.9846191,0.07070896029,
520.0219727,-0.0001509924914,520.0219727,0.06693633646,
518.0584717,0.0006472948589,518.0584717,0.06659410149,
515.9429932,0.0007271239301,515.9429932,0.06149886921,
513.9777222,0.0001563794067,513.9777222,0.05885224044,
512.0116577,-0.0003401636786,512.0116577,0.05710621923,
510.0447693,-0.0005672568805,510.0447693,0.05491930619,
507.9256287,0.001283379272,507.9256287,0.05435404927,
505.9570007,0.0001495172037,505.9570007,0.05322337151,
503.9875488,-0.000900983694,503.9875488,0.05101237819,
502.0172729,0.0003168044495,502.0172729,0.05128376186,
500.0462036,-0.0001262016449,500.0462036,0.05097005144,
498.0742798,-0.0001901166979,498.0742798,0.05135834217,
495.9497986,0.0005379846552,495.9497986,0.05074340478,
493.9762268,-1.884457561E-5,493.9762268,0.0505817011,
492.0018311,-7.832387928E-5,492.0018311,0.0514218621,
490.0266418,-6.232893793E-5,490.0266418,0.0511560142,
488.0506592,-7.309581997E-5,488.0506592,0.05183316022,
486.0738831,0.0005909902975,486.0738831,0.05211112648,
483.9441833,-0.0003294034104,483.9441833,0.05256509036,
481.9657593,0.0003073492844,481.9657593,0.0537323989,
479.9865417,0.0001512521558,479.9865417,0.05483004451,
478.0065918,-0.000406788633,478.0065918,0.05547291413,
476.0258179,-0.0002809789439,476.0258179,0.05686699599,
474.044281,-2.521220085E-5,474.044281,0.05903090537,
472.0619812,-0.0006184928934,472.0619812,0.06061043218,
469.9263306,-8.655404963E-5,469.9263306,0.06423512846,
467.9424438,1.356445955E-5,467.9424438,0.06880089641,
465.9577942,-0.0009001053986,465.9577942,0.07107933611,
463.9723816,0.0002066191664,463.9723816,0.07774714381,
461.9862061,-0.0009716551285,461.9862061,0.0832465142,
459.9992981,0.0005107974284,459.9992981,0.08970762044,
458.0116272,-0.0005124468007,458.0116272,0.09817437083,
456.0232239,3.839058627E-5,456.0232239,0.1068492532,
454.0340576,-1.402996804E-5,454.0340576,0.1164595634,
452.0441589,-0.0003445091133,452.0441589,0.1275487244,
450.0535583,-0.0001804912317,450.0535583,0.1399691552,
448.0621948,-0.0001082933886,448.0621948,0.1561986804,
446.0700989,0.0002588332572,446.0700989,0.1739247292,
443.9239502,3.430026118E-5,443.9239502,0.1945488155,
441.9303589,0.000346673798,441.9303589,0.2227027714,
439.9360657,-0.0001752126554,439.9360657,0.2562637925,
437.94104,0.0001479376224,437.94104,0.2951205075,
435.945282,-0.0003949954989,435.945282,0.3459484875,
433.9488525,0.0001881540811,433.9488525,0.4046110511,
431.9516907,-0.0001876844763,431.9516907,0.4729730189,
429.9538269,-6.056894199E-5,429.9538269,0.5549730062,
427.9552917,-0.0001017717004,427.9552917,0.6272213459,
425.9560242,6.09916242E-5,425.9560242,0.7094346881,
423.9560852,-0.0001985000126,423.9560852,0.7765645981,
421.9554443,0.0001776140562,421.9554443,0.8204006553,
419.9541321,0.0006906947237,419.9541321,0.8418666124,
417.9521484,-0.0003431123623,417.9521484,0.8347882032,
415.9494629,9.892154776E-5,415.9494629,0.8036426902,
413.946106,7.440264744E-5,413.946106,0.754684329,
411.9420776,1.656733548E-5,411.9420776,0.6965638399,
409.9373779,-0.0009627701947,409.9373779,0.6329045892,
407.9320068,-0.0007956266636,407.9320068,0.5711481571,
405.9259644,0.0003620107891,405.9259644,0.52405864,
404.0736694,-0.0002618870349,404.0736694,0.4770134389,
402.0663452,-0.0006726692664,402.0663452,0.4363551438,
400.0584106,0.0001049802886,400.0584106,0.3990222812,
398.0498047,-5.528891052E-5,398.0498047,0.3672497869,
396.0405579,-0.0003536653821,396.0405579,0.3411265314,
394.0306702,7.937363262E-5,394.0306702,0.312295258,
392.0201111,-5.259710088E-5,392.0201111,0.2913470566,
390.0089417,0.0001545149426,390.0089417,0.2709333003,
387.9971619,-0.0002562472364,387.9971619,0.2529708147,
385.9847107,-0.0003159009793,385.9847107,0.2401672453,
383.9716492,5.436087577E-6,383.9716492,0.2292098701,
381.9579468,2.832017344E-5,381.9579468,0.219899714,
379.943634,0.0001050061837,379.943634,0.2154705971,
377.9287109,-0.0001888747211,377.9287109,0.2125358731,
376.0682373,1.175238867E-5,376.0682373,0.2121283859,
374.052124,7.196358638E-6,374.052124,0.2130932957,
372.0354004,0.0001009929038,372.0354004,0.21618402,
370.0180969,-0.0005106886383,370.0180969,0.2194578052,
368.0001831,-8.665757923E-5,368.0001831,0.224993065,
365.9816589,0.0001019509073,365.9816589,0.2301473022,
363.9625244,-0.0002291339042,363.9625244,0.2340446562,
361.9428406,-0.0006602630601,361.9428406,0.2374982089,
359.9225159,0.0004974507028,359.9225159,0.2403558046,
358.0571289,0.0001791160612,358.0571289,0.2398622781,
356.0357056,-9.235131438E-5,356.0357056,0.2376499027,
354.0137024,0.0008856849163,354.0137024,0.2336332649,
351.9911194,0.0003520105965,351.9911194,0.2282258272,
349.9679871,0.0002095456875,349.9679871,0.2214182913,
347.9442749,-0.0002248908277,347.9442749,0.2113443166,
346.0757141,0.0005905237049,346.0757141,0.205436036,
344.0509338,0.001490246388,344.0509338,0.1978108883,
342.0255737,5.382026211E-5,342.0255737,0.1874738485,
339.9996643,-1.67737835E-5,339.9996643,0.1806596965,
337.973175,-0.0002542810689,337.973175,0.1699418426,
335.946167,0.0003769078758,335.946167,0.1616880894,
334.074585,-0.0002397931676,334.074585,0.1543221325,
332.0465393,-0.0001146079449,332.0465393,0.145532459,
330.0179138,-7.438989996E-5,330.0179138,0.1389872581,
327.9888,-0.0002288234391,327.9888,0.1290323138,
325.9591064,-9.214426973E-5,325.9591064,0.1224995852,
323.928894,-0.0002047097514,323.928894,0.1173349544,
322.0544128,-0.0003549586108,322.0544128,0.1122166067,
320.0231934,-0.0002962415165,320.0231934,0.1084663421,
317.9914551,-0.0001951880986,317.9914551,0.1037854552,
315.959198,-4.980174708E-5,315.959198,0.1028349251,
313.9264526,0.0004663530563,313.9264526,0.1044564322,
312.0495911,0.0002932057832,312.0495911,0.1062494814,
310.0158386,-0.0002946894092,310.0158386,0.1106758639,
307.9815979,-0.0003693392209,307.9815979,0.1210040003,
305.9468689,-0.0006528708618,305.9468689,0.1348346323,
304.0681763,-0.0003647354024,304.0681763,0.1512224525,
302.0325012,-0.0002094704978,302.0325012,0.1751440316,
299.9963074,-1.144144699E-5,299.9963074,0.203582257,
297.9596252,-7.475224265E-5,297.9596252,0.2353549451,
295.9224548,-6.036188279E-5,295.9224548,0.2816050351,
294.0415649,-9.111765394E-6,294.0415649,0.3240351677,
292.003479,7.862280472E-5,292.003479,0.3646431267,
289.9649353,-0.0003997541789,289.9649353,0.3956058919,
287.9259033,0.0004657311074,287.9259033,0.4440433085,
286.0433044,-0.0004183745186,286.0433044,0.4838570952,
284.0033569,-0.0009705187404,284.0033569,0.4981522858,
281.9629822,-0.0001575134374,281.9629822,0.5057369471,
279.9221191,1.333147793E-5,279.9221191,0.5073887706,
278.0378723,0.0002425415732,278.0378723,0.501434505,
275.9961548,-0.0001463346125,275.9961548,0.4877873063,
273.9539795,-3.178680709E-5,273.9539795,0.4683132768,
272.068512,-0.0001923419186,272.068512,0.4498852491,
270.0254822,0.0009719659574,270.0254822,0.4359744787,
267.9820251,0.000382270955,267.9820251,0.4084177017,
265.9381409,0.001121428912,265.9381409,0.3899696171,
264.0510864,0.001050557359,264.0510864,0.3666911125,
262.0063477,-0.0001794044656,262.0063477,0.349131763,
259.9612122,-0.0004942959058,259.9612122,0.3393794298,
258.072998,-0.0007033214206,258.072998,0.3212226927,
256.0270386,-0.0004704555322,256.0270386,0.3098635375,
253.9806671,-0.0008081840351,253.9806671,0.3089268506,
251.9338837,0.000167100181,251.9338837,0.3122870028,
250.0441742,-0.0007216186495,250.0441742,0.3267278671,
248.0085449,-0.0003764258872,248.0085449,0.3547349274,
245.9727936,-0.0009196858737,245.9727936,0.4059462249,
243.9366302,-0.0002483824792,243.9366302,0.498639673,
242.0567474,-0.0003706324205,242.0567474,0.6148918867,
240.0198364,-0.0002488999162,240.0198364,0.8098407388,
237.9825439,-0.001162018278,237.9825439,1.137403965,
235.9448547,-0.0003547517117,235.9448547,1.519544125,
234.0635834,0.0001910804713,234.0635834,1.92464292,
232.025177,-0.0007315422408,232.025177,2.34808898,
229.9863892,-0.00174054876,229.9863892,2.497584343,
227.9472198,-0.0003148663091,227.9472198,2.910232306,
226.0646057,0.00731031457,226.0646057,2.786806822,
224.0247345,-0.0002891535405,224.0247345,2.575343847,
221.9845123,-0.00944474712,221.9845123,2.629217148,
219.943924,0.01267587207,219.943924,1.909534454,
218.0599976,-0.01938060112,218.0599976,1.629921436,
216.0187378,0.01028291322,216.0187378,1.361605883,
213.9771271,-0.007388178259,213.9771271,0.8699550033,
211.9351807,-0.06718766689,211.9351807,0.285364449,
210.0499878,-0.05341771245,210.0499878,0.5316544175,
208.0073853,0.07598971575,208.0073853,0.4288671315,
205.9644318,-0.05874099582,205.9644318,0.4141149521,
204.0783539,0.02490914613,204.0783539,0.2687849104,
202.0347748,0.04256418347,202.0347748,0.2297828048,
199.9907532,-0.1023074612,199.9907532,0.2638168931,

baseline,
baseline
Collection Time: 07/06/2019 14:01:01
Operator Name  :
Scan Software Version: 3.00(339)
Parameter List :
Instrument                        Cary 50
Instrument Version                3.00
Start (nm)                        800.0
Stop (nm)                         200.0
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         9600.00
UV-Vis Data Interval (nm)         2.00
UV-Vis Ave. Time (sec)            0.0125
Beam Mode                         Dual Beam
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    :
Date/Time stamp: 06/06/2019 09:19:20
Method Modifications:
Common Interval nm Changed: 07/06/2019 14:00:48, Old:     5.00, New:     2.00
Baseline Correction Changed: 07/06/2019 14:00:48, Old:0, New:1
Storage Changed: 07/06/2019 14:00:48, Old:1, New:0
End Method Modifications
<Current Wavelength> , 218.1

bm3 sample,
bm3 sample
Collection Time: 07/06/2019 14:01:21
Operator Name  :
Scan Software Version: 3.00(339)
Parameter List :
Instrument                        Cary 50
Instrument Version                3.00
Start (nm)                        800.0
Stop (nm)                         200.0
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         9600.00
UV-Vis Data Interval (nm)         2.00
UV-Vis Ave. Time (sec)            0.0125
Beam Mode                         Dual Beam
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    :
Date/Time stamp: 06/06/2019 09:19:20
Method Modifications:
Common Interval nm Changed: 07/06/2019 14:00:48, Old:     5.00, New:     2.00
Baseline Correction Changed: 07/06/2019 14:00:48, Old:0, New:1
Storage Changed: 07/06/2019 14:00:48, Old:1, New:0
End Method Modifications
<Current Wavelength> , 218.1

