baseline,,bm3heme5in1000,,bm3heme5in100_2,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0101318,-0.0005580534344,800.0101318,0.00713994354,800.0101318,0.01234880742,
799.0389404,0.001091817627,799.0389404,0.007640428841,799.0389404,0.0126434369,
798.0673218,0.0002566575422,798.0673218,0.006074465811,798.0673218,0.01108852029,
796.9564209,-0.000770975952,796.9564209,0.006757386029,796.9564209,0.01348959282,
795.9840088,-0.0004744376347,795.9840088,0.00577365933,795.9840088,0.01307091117,
795.0111694,-0.0001597905648,795.0111694,0.007285332307,795.0111694,0.01245665643,
794.0380249,-0.001080481219,794.0380249,0.005836464465,794.0380249,0.01234499924,
793.0644531,0.0006405285676,793.0644531,0.005151243415,793.0644531,0.01274895947,
791.951355,0.001116030733,791.951355,0.007351410575,791.951355,0.01350078173,
790.9769897,-7.304405881E-5,790.9769897,0.006323707756,790.9769897,0.01371104084,
790.0022583,0.001179593266,790.0022583,0.006964457687,790.0022583,0.01234856807,
789.0271606,0.0001082945091,789.0271606,0.007821169682,789.0271606,0.01215475239,
788.0516968,-0.001360349357,788.0516968,0.006937181111,788.0516968,0.01328902226,
786.9364014,0.0004899611231,786.9364014,0.005629693624,786.9364014,0.01268946566,
785.960144,-0.003013622249,785.960144,0.004786738195,785.960144,0.01142922696,
784.9835205,-6.30018767E-5,784.9835205,0.006183025427,784.9835205,0.01263568178,
784.0064697,0.0001385638025,784.0064697,0.005518283229,784.0064697,0.01272782125,
783.0291138,-4.431451816E-5,783.0291138,0.006505031139,783.0291138,0.0121977469,
782.0513306,0.0005164472968,782.0513306,0.007206604816,782.0513306,0.01327415649,
780.9334717,-9.763089474E-5,780.9334717,0.007076608017,780.9334717,0.01294261403,
779.9549561,-0.0006153392605,779.9549561,0.00761753507,779.9549561,0.01145335846,
778.9760132,0.0002660597966,778.9760132,0.006712008733,778.9760132,0.0135083925,
777.9967651,0.0001357672299,777.9967651,0.007154812105,777.9967651,0.01325995754,
777.0170898,0.0006900984445,777.0170898,0.007291439455,777.0170898,0.0144578144,
776.0371094,0.001113980543,776.0371094,0.006917059887,776.0371094,0.01364513673,
775.0567017,-0.00201829127,775.0567017,0.006172653753,775.0567017,0.01087504067,
773.9358521,-0.001197644044,773.9358521,0.005507718306,773.9358521,0.01186348684,
772.9547119,-0.0004079265345,772.9547119,0.005859841593,772.9547119,0.01263530925,
771.9731445,-0.001267131651,771.9731445,0.006770768669,771.9731445,0.01434390247,
770.991272,0.002077989513,770.991272,0.007409362122,770.991272,0.01277521811,
770.0090332,-0.0004207020102,770.0090332,0.006129227579,770.0090332,0.01331616752,
769.0264282,-0.001175494515,769.0264282,0.005567626562,769.0264282,0.01079767663,
768.043396,-0.00179783348,768.043396,0.00577447284,768.043396,0.01408589818,
767.0600586,-0.0004244776792,767.0600586,0.007399672177,767.0600586,0.01318451576,
765.935791,-2.38662069E-5,765.935791,0.006742531434,765.935791,0.01253471617,
764.9517212,0.0004049158306,764.9517212,0.007718550041,764.9517212,0.01340556797,
763.9672241,0.0007728916244,763.9672241,0.007196051069,763.9672241,0.01416152343,
762.9823608,-0.0005862836842,762.9823608,0.006923635025,762.9823608,0.01356709097,
761.9971924,-0.001517782919,761.9971924,0.006216346752,761.9971924,0.01266723685,
761.0116577,0.001719873631,761.0116577,0.007555921096,761.0116577,0.0140804965,
760.0256958,0.001155168982,760.0256958,0.008664283901,760.0256958,0.01395994704,
759.0394287,0.0004016252351,759.0394287,0.007122734096,759.0394287,0.01445725188,
758.0527954,0.000952508417,758.0527954,0.008201421238,758.0527954,0.01433207653,
757.0657959,-0.0005767703988,757.0657959,0.007847632281,757.0657959,0.01389290951,
755.9373779,-0.0009426233592,755.9373779,0.007182918489,755.9373779,0.01360213291,
