,Vol/µl,Prot]/µM,No. Concs,Power,Substreate/nl
0,35.0,6.0,9.0,2.5,0.0
1,35.0,6.0,9.0,2.5,10.0
2,35.0,6.0,9.0,2.5,55.0
3,35.0,6.0,9.0,2.5,152.5
4,35.0,6.0,9.0,2.5,310.0
5,35.0,6.0,9.0,2.5,542.5
6,35.0,6.0,9.0,2.5,852.5
7,35.0,6.0,9.0,2.5,1255.0
8,35.0,6.0,9.0,2.5,1750.0
9,35.0,6.0,9.0,2.5,0.0
10,35.0,6.0,9.0,2.5,10.0
11,35.0,6.0,9.0,2.5,55.0
12,35.0,6.0,9.0,2.5,152.5
13,35.0,6.0,9.0,2.5,310.0
14,35.0,6.0,9.0,2.5,542.5
15,35.0,6.0,9.0,2.5,852.5
16,35.0,6.0,9.0,2.5,1255.0
17,35.0,6.0,9.0,2.5,1750.0
18,35.0,6.0,9.0,2.5,0.0
19,35.0,6.0,9.0,2.5,10.0
20,35.0,6.0,9.0,2.5,55.0
21,35.0,6.0,9.0,2.5,152.5
22,35.0,6.0,9.0,2.5,310.0
23,35.0,6.0,9.0,2.5,542.5
24,35.0,6.0,9.0,2.5,852.5
25,35.0,6.0,9.0,2.5,1255.0
26,35.0,6.0,9.0,2.5,1750.0
27,35.0,6.0,9.0,2.5,0.0
28,35.0,6.0,9.0,2.5,10.0
29,35.0,6.0,9.0,2.5,55.0
30,35.0,6.0,9.0,2.5,152.5
31,35.0,6.0,9.0,2.5,310.0
32,35.0,6.0,9.0,2.5,542.5
33,35.0,6.0,9.0,2.5,852.5
34,35.0,6.0,9.0,2.5,1255.0
35,35.0,6.0,9.0,2.5,1750.0
36,35.0,6.0,9.0,2.5,0.0
37,35.0,6.0,9.0,2.5,10.0
38,35.0,6.0,9.0,2.5,55.0
39,35.0,6.0,9.0,2.5,152.5
40,35.0,6.0,9.0,2.5,310.0
41,35.0,6.0,9.0,2.5,542.5
42,35.0,6.0,9.0,2.5,852.5
43,35.0,6.0,9.0,2.5,1255.0
44,35.0,6.0,9.0,2.5,1750.0
45,35.0,6.0,9.0,2.5,0.0
46,35.0,6.0,9.0,2.5,10.0
47,35.0,6.0,9.0,2.5,55.0
48,35.0,6.0,9.0,2.5,152.5
49,35.0,6.0,9.0,2.5,310.0
50,35.0,6.0,9.0,2.5,542.5
51,35.0,6.0,9.0,2.5,852.5
52,35.0,6.0,9.0,2.5,1255.0
53,35.0,6.0,9.0,2.5,1750.0
54,35.0,6.0,9.0,2.5,0.0
55,35.0,6.0,9.0,2.5,10.0
56,35.0,6.0,9.0,2.5,55.0
57,35.0,6.0,9.0,2.5,152.5
58,35.0,6.0,9.0,2.5,310.0
59,35.0,6.0,9.0,2.5,542.5
60,35.0,6.0,9.0,2.5,852.5
61,35.0,6.0,9.0,2.5,1255.0
62,35.0,6.0,9.0,2.5,1750.0
63,35.0,6.0,9.0,2.5,0.0
64,35.0,6.0,9.0,2.5,10.0
65,35.0,6.0,9.0,2.5,55.0
66,35.0,6.0,9.0,2.5,152.5
67,35.0,6.0,9.0,2.5,310.0
68,35.0,6.0,9.0,2.5,542.5
69,35.0,6.0,9.0,2.5,852.5
70,35.0,6.0,9.0,2.5,1255.0
71,35.0,6.0,9.0,2.5,1750.0
72,35.0,6.0,9.0,2.5,0.0
73,35.0,6.0,9.0,2.5,10.0
74,35.0,6.0,9.0,2.5,55.0
75,35.0,6.0,9.0,2.5,152.5
76,35.0,6.0,9.0,2.5,310.0
77,35.0,6.0,9.0,2.5,542.5
78,35.0,6.0,9.0,2.5,852.5
79,35.0,6.0,9.0,2.5,1255.0
80,35.0,6.0,9.0,2.5,1750.0
81,35.0,6.0,9.0,2.5,0.0
82,35.0,6.0,9.0,2.5,10.0
83,35.0,6.0,9.0,2.5,55.0
84,35.0,6.0,9.0,2.5,152.5
85,35.0,6.0,9.0,2.5,310.0
86,35.0,6.0,9.0,2.5,542.5
87,35.0,6.0,9.0,2.5,852.5
88,35.0,6.0,9.0,2.5,1255.0
89,35.0,6.0,9.0,2.5,1750.0
90,35.0,6.0,9.0,2.5,0.0
91,35.0,6.0,9.0,2.5,10.0
92,35.0,6.0,9.0,2.5,55.0
93,35.0,6.0,9.0,2.5,152.5
94,35.0,6.0,9.0,2.5,310.0
95,35.0,6.0,9.0,2.5,542.5
96,35.0,6.0,9.0,2.5,852.5
97,35.0,6.0,9.0,2.5,1255.0
98,35.0,6.0,9.0,2.5,1750.0
99,35.0,6.0,9.0,2.5,0.0
100,35.0,6.0,9.0,2.5,10.0
101,35.0,6.0,9.0,2.5,55.0
102,35.0,6.0,9.0,2.5,152.5
103,35.0,6.0,9.0,2.5,310.0
104,35.0,6.0,9.0,2.5,542.5
105,35.0,6.0,9.0,2.5,852.5
106,35.0,6.0,9.0,2.5,1255.0
107,35.0,6.0,9.0,2.5,1750.0
108,35.0,6.0,9.0,2.5,0.0
109,35.0,6.0,9.0,2.5,10.0
110,35.0,6.0,9.0,2.5,55.0
111,35.0,6.0,9.0,2.5,152.5
112,35.0,6.0,9.0,2.5,310.0
113,35.0,6.0,9.0,2.5,542.5
114,35.0,6.0,9.0,2.5,852.5
115,35.0,6.0,9.0,2.5,1255.0
116,35.0,6.0,9.0,2.5,1750.0
117,35.0,6.0,9.0,2.5,0.0
118,35.0,6.0,9.0,2.5,10.0
119,35.0,6.0,9.0,2.5,55.0
120,35.0,6.0,9.0,2.5,152.5
121,35.0,6.0,9.0,2.5,310.0
122,35.0,6.0,9.0,2.5,542.5
123,35.0,6.0,9.0,2.5,852.5
124,35.0,6.0,9.0,2.5,1255.0
125,35.0,6.0,9.0,2.5,1750.0
126,35.0,6.0,9.0,2.5,0.0
127,35.0,6.0,9.0,2.5,10.0
128,35.0,6.0,9.0,2.5,55.0
129,35.0,6.0,9.0,2.5,152.5
130,35.0,6.0,9.0,2.5,310.0
131,35.0,6.0,9.0,2.5,542.5
132,35.0,6.0,9.0,2.5,852.5
133,35.0,6.0,9.0,2.5,1255.0
134,35.0,6.0,9.0,2.5,1750.0
135,35.0,6.0,9.0,2.5,0.0
136,35.0,6.0,9.0,2.5,10.0
137,35.0,6.0,9.0,2.5,55.0
138,35.0,6.0,9.0,2.5,152.5
139,35.0,6.0,9.0,2.5,310.0
140,35.0,6.0,9.0,2.5,542.5
141,35.0,6.0,9.0,2.5,852.5
142,35.0,6.0,9.0,2.5,1255.0
143,35.0,6.0,9.0,2.5,1750.0
144,35.0,6.0,9.0,2.5,0.0
145,35.0,6.0,9.0,2.5,10.0
146,35.0,6.0,9.0,2.5,55.0
147,35.0,6.0,9.0,2.5,152.5
148,35.0,6.0,9.0,2.5,310.0
149,35.0,6.0,9.0,2.5,542.5
150,35.0,6.0,9.0,2.5,852.5
151,35.0,6.0,9.0,2.5,1255.0
152,35.0,6.0,9.0,2.5,1750.0
153,35.0,6.0,9.0,2.5,0.0
154,35.0,6.0,9.0,2.5,10.0
155,35.0,6.0,9.0,2.5,55.0
156,35.0,6.0,9.0,2.5,152.5
157,35.0,6.0,9.0,2.5,310.0
158,35.0,6.0,9.0,2.5,542.5
159,35.0,6.0,9.0,2.5,852.5
160,35.0,6.0,9.0,2.5,1255.0
161,35.0,6.0,9.0,2.5,1750.0
162,35.0,6.0,9.0,2.5,0.0
163,35.0,6.0,9.0,2.5,10.0
164,35.0,6.0,9.0,2.5,55.0
165,35.0,6.0,9.0,2.5,152.5
166,35.0,6.0,9.0,2.5,310.0
167,35.0,6.0,9.0,2.5,542.5
168,35.0,6.0,9.0,2.5,852.5
169,35.0,6.0,9.0,2.5,1255.0
170,35.0,6.0,9.0,2.5,1750.0
171,35.0,6.0,9.0,2.5,0.0
172,35.0,6.0,9.0,2.5,10.0
173,35.0,6.0,9.0,2.5,55.0
174,35.0,6.0,9.0,2.5,152.5
175,35.0,6.0,9.0,2.5,310.0
176,35.0,6.0,9.0,2.5,542.5
177,35.0,6.0,9.0,2.5,852.5
178,35.0,6.0,9.0,2.5,1255.0
179,35.0,6.0,9.0,2.5,1750.0
180,35.0,6.0,9.0,2.5,0.0
181,35.0,6.0,9.0,2.5,10.0
182,35.0,6.0,9.0,2.5,55.0
183,35.0,6.0,9.0,2.5,152.5
184,35.0,6.0,9.0,2.5,310.0
185,35.0,6.0,9.0,2.5,542.5
186,35.0,6.0,9.0,2.5,852.5
187,35.0,6.0,9.0,2.5,1255.0
188,35.0,6.0,9.0,2.5,1750.0
189,35.0,6.0,9.0,2.5,0.0
190,35.0,6.0,9.0,2.5,10.0
191,35.0,6.0,9.0,2.5,55.0
192,35.0,6.0,9.0,2.5,152.5
193,35.0,6.0,9.0,2.5,310.0
194,35.0,6.0,9.0,2.5,542.5
195,35.0,6.0,9.0,2.5,852.5
196,35.0,6.0,9.0,2.5,1255.0
197,35.0,6.0,9.0,2.5,1750.0
198,35.0,6.0,9.0,2.5,0.0
199,35.0,6.0,9.0,2.5,10.0
200,35.0,6.0,9.0,2.5,55.0
201,35.0,6.0,9.0,2.5,152.5
202,35.0,6.0,9.0,2.5,310.0
203,35.0,6.0,9.0,2.5,542.5
204,35.0,6.0,9.0,2.5,852.5
205,35.0,6.0,9.0,2.5,1255.0
206,35.0,6.0,9.0,2.5,1750.0
207,35.0,6.0,9.0,2.5,0.0
208,35.0,6.0,9.0,2.5,10.0
209,35.0,6.0,9.0,2.5,55.0
210,35.0,6.0,9.0,2.5,152.5
211,35.0,6.0,9.0,2.5,310.0
212,35.0,6.0,9.0,2.5,542.5
213,35.0,6.0,9.0,2.5,852.5
214,35.0,6.0,9.0,2.5,1255.0
215,35.0,6.0,9.0,2.5,1750.0
216,35.0,6.0,9.0,2.5,0.0
217,35.0,6.0,9.0,2.5,10.0
218,35.0,6.0,9.0,2.5,55.0
219,35.0,6.0,9.0,2.5,152.5
220,35.0,6.0,9.0,2.5,310.0
221,35.0,6.0,9.0,2.5,542.5
222,35.0,6.0,9.0,2.5,852.5
223,35.0,6.0,9.0,2.5,1255.0
224,35.0,6.0,9.0,2.5,1750.0
225,35.0,6.0,9.0,2.5,0.0
226,35.0,6.0,9.0,2.5,10.0
227,35.0,6.0,9.0,2.5,55.0
228,35.0,6.0,9.0,2.5,152.5
229,35.0,6.0,9.0,2.5,310.0
230,35.0,6.0,9.0,2.5,542.5
231,35.0,6.0,9.0,2.5,852.5
232,35.0,6.0,9.0,2.5,1255.0
233,35.0,6.0,9.0,2.5,1750.0
234,35.0,6.0,9.0,2.5,0.0
235,35.0,6.0,9.0,2.5,10.0
236,35.0,6.0,9.0,2.5,55.0
237,35.0,6.0,9.0,2.5,152.5
238,35.0,6.0,9.0,2.5,310.0
239,35.0,6.0,9.0,2.5,542.5
240,35.0,6.0,9.0,2.5,852.5
241,35.0,6.0,9.0,2.5,1255.0
242,35.0,6.0,9.0,2.5,1750.0
243,35.0,6.0,9.0,2.5,0.0
244,35.0,6.0,9.0,2.5,10.0
245,35.0,6.0,9.0,2.5,55.0
246,35.0,6.0,9.0,2.5,152.5
247,35.0,6.0,9.0,2.5,310.0
248,35.0,6.0,9.0,2.5,542.5
249,35.0,6.0,9.0,2.5,852.5
250,35.0,6.0,9.0,2.5,1255.0
251,35.0,6.0,9.0,2.5,1750.0
252,35.0,6.0,9.0,2.5,0.0
253,35.0,6.0,9.0,2.5,10.0
254,35.0,6.0,9.0,2.5,55.0
255,35.0,6.0,9.0,2.5,152.5
256,35.0,6.0,9.0,2.5,310.0
257,35.0,6.0,9.0,2.5,542.5
258,35.0,6.0,9.0,2.5,852.5
259,35.0,6.0,9.0,2.5,1255.0
260,35.0,6.0,9.0,2.5,1750.0
261,35.0,6.0,9.0,2.5,0.0
262,35.0,6.0,9.0,2.5,10.0
263,35.0,6.0,9.0,2.5,55.0
264,35.0,6.0,9.0,2.5,152.5
265,35.0,6.0,9.0,2.5,310.0
266,35.0,6.0,9.0,2.5,542.5
267,35.0,6.0,9.0,2.5,852.5
268,35.0,6.0,9.0,2.5,1255.0
269,35.0,6.0,9.0,2.5,1750.0
270,35.0,6.0,9.0,2.5,0.0
271,35.0,6.0,9.0,2.5,10.0
272,35.0,6.0,9.0,2.5,55.0
273,35.0,6.0,9.0,2.5,152.5
274,35.0,6.0,9.0,2.5,310.0
275,35.0,6.0,9.0,2.5,542.5
276,35.0,6.0,9.0,2.5,852.5
277,35.0,6.0,9.0,2.5,1255.0
278,35.0,6.0,9.0,2.5,1750.0
279,35.0,6.0,9.0,2.5,0.0
280,35.0,6.0,9.0,2.5,10.0
281,35.0,6.0,9.0,2.5,55.0
282,35.0,6.0,9.0,2.5,152.5
283,35.0,6.0,9.0,2.5,310.0
284,35.0,6.0,9.0,2.5,542.5
285,35.0,6.0,9.0,2.5,852.5
286,35.0,6.0,9.0,2.5,1255.0
287,35.0,6.0,9.0,2.5,1750.0
288,35.0,6.0,9.0,2.5,0.0
289,35.0,6.0,9.0,2.5,10.0
290,35.0,6.0,9.0,2.5,55.0
291,35.0,6.0,9.0,2.5,152.5
292,35.0,6.0,9.0,2.5,310.0
293,35.0,6.0,9.0,2.5,542.5
294,35.0,6.0,9.0,2.5,852.5
295,35.0,6.0,9.0,2.5,1255.0
296,35.0,6.0,9.0,2.5,1750.0
297,35.0,6.0,9.0,2.5,0.0
298,35.0,6.0,9.0,2.5,10.0
299,35.0,6.0,9.0,2.5,55.0
300,35.0,6.0,9.0,2.5,152.5
301,35.0,6.0,9.0,2.5,310.0
302,35.0,6.0,9.0,2.5,542.5
303,35.0,6.0,9.0,2.5,852.5
304,35.0,6.0,9.0,2.5,1255.0
305,35.0,6.0,9.0,2.5,1750.0
306,35.0,6.0,9.0,2.5,0.0
307,35.0,6.0,9.0,2.5,10.0
308,35.0,6.0,9.0,2.5,55.0
309,35.0,6.0,9.0,2.5,152.5
310,35.0,6.0,9.0,2.5,310.0
311,35.0,6.0,9.0,2.5,542.5
312,35.0,6.0,9.0,2.5,852.5
313,35.0,6.0,9.0,2.5,1255.0
314,35.0,6.0,9.0,2.5,1750.0
315,35.0,6.0,9.0,2.5,0.0
316,35.0,6.0,9.0,2.5,10.0
317,35.0,6.0,9.0,2.5,55.0
318,35.0,6.0,9.0,2.5,152.5
319,35.0,6.0,9.0,2.5,310.0
320,35.0,6.0,9.0,2.5,542.5
321,35.0,6.0,9.0,2.5,852.5
322,35.0,6.0,9.0,2.5,1255.0
323,35.0,6.0,9.0,2.5,1750.0
