,Vol/µl,Prot]/µM,No. Concs,Power,Substreate/nl
0,20.0,2.0,6.0,4.0,0.0
1,20.0,2.0,6.0,4.0,2.5
2,20.0,2.0,6.0,4.0,27.5
3,20.0,2.0,6.0,4.0,130.0
4,20.0,2.0,6.0,4.0,410.0
5,20.0,2.0,6.0,4.0,1000.0
6,20.0,2.0,12.0,1.0,0.0
7,20.0,2.0,12.0,1.0,92.5
8,20.0,2.0,12.0,1.0,182.5
9,20.0,2.0,12.0,1.0,275.0
10,20.0,2.0,12.0,1.0,365.0
11,20.0,2.0,12.0,1.0,455.0
12,20.0,2.0,12.0,1.0,547.5
13,20.0,2.0,12.0,1.0,637.5
14,20.0,2.0,12.0,1.0,727.5
15,20.0,2.0,12.0,1.0,820.0
16,20.0,2.0,12.0,1.0,910.0
17,20.0,2.0,12.0,1.0,1000.0
18,20.0,2.0,6.0,1.0,0.0
19,20.0,2.0,6.0,1.0,200.0
20,20.0,2.0,6.0,1.0,400.0
21,20.0,2.0,6.0,1.0,602.5
22,20.0,2.0,6.0,1.0,800.0
23,20.0,2.0,6.0,1.0,1000.0
24,20.0,2.0,12.0,4.0,0.0
25,20.0,2.0,12.0,4.0,2.5
26,20.0,2.0,12.0,4.0,2.5
27,20.0,2.0,12.0,4.0,7.5
28,20.0,2.0,12.0,4.0,17.5
29,20.0,2.0,12.0,4.0,45.0
30,20.0,2.0,12.0,4.0,90.0
31,20.0,2.0,12.0,4.0,165.0
32,20.0,2.0,12.0,4.0,280.0
33,20.0,2.0,12.0,4.0,450.0
34,20.0,2.0,12.0,4.0,685.0
35,20.0,2.0,12.0,4.0,1000.0
36,20.0,2.0,6.0,4.0,0.0
37,20.0,2.0,6.0,4.0,2.5
38,20.0,2.0,6.0,4.0,27.5
39,20.0,2.0,6.0,4.0,130.0
40,20.0,2.0,6.0,4.0,410.0
41,20.0,2.0,6.0,4.0,1000.0
42,20.0,2.0,12.0,1.0,0.0
43,20.0,2.0,12.0,1.0,92.5
44,20.0,2.0,12.0,1.0,182.5
45,20.0,2.0,12.0,1.0,275.0
46,20.0,2.0,12.0,1.0,365.0
47,20.0,2.0,12.0,1.0,455.0
48,20.0,2.0,12.0,1.0,547.5
49,20.0,2.0,12.0,1.0,637.5
50,20.0,2.0,12.0,1.0,727.5
51,20.0,2.0,12.0,1.0,820.0
52,20.0,2.0,12.0,1.0,910.0
53,20.0,2.0,12.0,1.0,1000.0
54,20.0,2.0,6.0,1.0,0.0
55,20.0,2.0,6.0,1.0,200.0
56,20.0,2.0,6.0,1.0,400.0
57,20.0,2.0,6.0,1.0,602.5
58,20.0,2.0,6.0,1.0,800.0
59,20.0,2.0,6.0,1.0,1000.0
60,20.0,2.0,12.0,4.0,0.0
61,20.0,2.0,12.0,4.0,2.5
62,20.0,2.0,12.0,4.0,2.5
63,20.0,2.0,12.0,4.0,7.5
64,20.0,2.0,12.0,4.0,17.5
65,20.0,2.0,12.0,4.0,45.0
66,20.0,2.0,12.0,4.0,90.0
67,20.0,2.0,12.0,4.0,165.0
68,20.0,2.0,12.0,4.0,280.0
69,20.0,2.0,12.0,4.0,450.0
70,20.0,2.0,12.0,4.0,685.0
71,20.0,2.0,12.0,4.0,1000.0
72,20.0,2.0,6.0,4.0,0.0
73,20.0,2.0,6.0,4.0,2.5
74,20.0,2.0,6.0,4.0,27.5
75,20.0,2.0,6.0,4.0,130.0
76,20.0,2.0,6.0,4.0,410.0
77,20.0,2.0,6.0,4.0,1000.0
78,20.0,2.0,12.0,1.0,0.0
79,20.0,2.0,12.0,1.0,92.5
80,20.0,2.0,12.0,1.0,182.5
81,20.0,2.0,12.0,1.0,275.0
82,20.0,2.0,12.0,1.0,365.0
83,20.0,2.0,12.0,1.0,455.0
84,20.0,2.0,12.0,1.0,547.5
85,20.0,2.0,12.0,1.0,637.5
86,20.0,2.0,12.0,1.0,727.5
87,20.0,2.0,12.0,1.0,820.0
88,20.0,2.0,12.0,1.0,910.0
89,20.0,2.0,12.0,1.0,1000.0
90,20.0,2.0,6.0,1.0,0.0
91,20.0,2.0,6.0,1.0,200.0
92,20.0,2.0,6.0,1.0,400.0
93,20.0,2.0,6.0,1.0,602.5
94,20.0,2.0,6.0,1.0,800.0
95,20.0,2.0,6.0,1.0,1000.0
96,20.0,2.0,12.0,4.0,0.0
97,20.0,2.0,12.0,4.0,2.5
98,20.0,2.0,12.0,4.0,2.5
99,20.0,2.0,12.0,4.0,7.5
100,20.0,2.0,12.0,4.0,17.5
101,20.0,2.0,12.0,4.0,45.0
102,20.0,2.0,12.0,4.0,90.0
103,20.0,2.0,12.0,4.0,165.0
104,20.0,2.0,12.0,4.0,280.0
105,20.0,2.0,12.0,4.0,450.0
106,20.0,2.0,12.0,4.0,685.0
107,20.0,2.0,12.0,4.0,1000.0
108,20.0,2.0,6.0,4.0,0.0
109,20.0,2.0,6.0,4.0,2.5
110,20.0,2.0,6.0,4.0,27.5
111,20.0,2.0,6.0,4.0,130.0
112,20.0,2.0,6.0,4.0,410.0
113,20.0,2.0,6.0,4.0,1000.0
114,20.0,2.0,12.0,1.0,0.0
115,20.0,2.0,12.0,1.0,92.5
116,20.0,2.0,12.0,1.0,182.5
117,20.0,2.0,12.0,1.0,275.0
118,20.0,2.0,12.0,1.0,365.0
119,20.0,2.0,12.0,1.0,455.0
120,20.0,2.0,12.0,1.0,547.5
121,20.0,2.0,12.0,1.0,637.5
122,20.0,2.0,12.0,1.0,727.5
123,20.0,2.0,12.0,1.0,820.0
124,20.0,2.0,12.0,1.0,910.0
125,20.0,2.0,12.0,1.0,1000.0
126,20.0,2.0,6.0,1.0,0.0
127,20.0,2.0,6.0,1.0,200.0
128,20.0,2.0,6.0,1.0,400.0
129,20.0,2.0,6.0,1.0,602.5
130,20.0,2.0,6.0,1.0,800.0
131,20.0,2.0,6.0,1.0,1000.0
132,20.0,2.0,12.0,4.0,0.0
133,20.0,2.0,12.0,4.0,2.5
134,20.0,2.0,12.0,4.0,2.5
135,20.0,2.0,12.0,4.0,7.5
136,20.0,2.0,12.0,4.0,17.5
137,20.0,2.0,12.0,4.0,45.0
138,20.0,2.0,12.0,4.0,90.0
139,20.0,2.0,12.0,4.0,165.0
140,20.0,2.0,12.0,4.0,280.0
