,Vol/µl,Prot]/µM,No. Concs,Power,Substreate/nl
141,50.0,2.0,12.0,1.0,2047.5
142,50.0,2.0,12.0,1.0,2275.0
143,50.0,2.0,12.0,1.0,2500.0
144,50.0,2.0,6.0,1.0,0.0
145,50.0,2.0,6.0,1.0,500.0
146,50.0,2.0,6.0,1.0,1000.0
147,50.0,2.0,6.0,1.0,1502.5
148,50.0,2.0,6.0,1.0,2000.0
149,50.0,2.0,6.0,1.0,2500.0
150,50.0,2.0,12.0,4.0,0.0
151,50.0,2.0,12.0,4.0,2.5
152,50.0,2.0,12.0,4.0,5.0
153,50.0,2.0,12.0,4.0,15.0
154,50.0,2.0,12.0,4.0,45.0
155,50.0,2.0,12.0,4.0,107.5
156,50.0,2.0,12.0,4.0,222.5
157,50.0,2.0,12.0,4.0,410.0
158,50.0,2.0,12.0,4.0,700.0
159,50.0,2.0,12.0,4.0,1122.5
160,50.0,2.0,12.0,4.0,1710.0
161,50.0,2.0,12.0,4.0,2500.0
162,50.0,2.0,6.0,4.0,0.0
163,50.0,2.0,6.0,4.0,5.0
164,50.0,2.0,6.0,4.0,65.0
165,50.0,2.0,6.0,4.0,325.0
166,50.0,2.0,6.0,4.0,1025.0
167,50.0,2.0,6.0,4.0,2500.0
168,50.0,2.0,12.0,1.0,0.0
169,50.0,2.0,12.0,1.0,227.5
170,50.0,2.0,12.0,1.0,455.0
171,50.0,2.0,12.0,1.0,682.5
172,50.0,2.0,12.0,1.0,910.0
173,50.0,2.0,12.0,1.0,1137.5
174,50.0,2.0,12.0,1.0,1365.0
175,50.0,2.0,12.0,1.0,1592.5
176,50.0,2.0,12.0,1.0,1820.0
177,50.0,2.0,12.0,1.0,2047.5
178,50.0,2.0,12.0,1.0,2275.0
179,50.0,2.0,12.0,1.0,2500.0
180,50.0,10.0,12.0,1.0,0.0
181,50.0,10.0,12.0,1.0,227.5
182,50.0,10.0,12.0,1.0,455.0
183,50.0,10.0,12.0,1.0,682.5
184,50.0,10.0,12.0,1.0,910.0
185,50.0,10.0,12.0,1.0,1137.5
186,50.0,10.0,12.0,1.0,1365.0
187,50.0,10.0,12.0,1.0,1592.5
188,50.0,10.0,12.0,1.0,1820.0
189,50.0,10.0,12.0,1.0,2047.5
190,50.0,10.0,12.0,1.0,2275.0
191,50.0,10.0,12.0,1.0,2500.0
192,50.0,10.0,6.0,4.0,0.0
193,50.0,10.0,6.0,4.0,5.0
194,50.0,10.0,6.0,4.0,65.0
195,50.0,10.0,6.0,4.0,325.0
196,50.0,10.0,6.0,4.0,1025.0
197,50.0,10.0,6.0,4.0,2500.0
198,50.0,10.0,6.0,1.0,0.0
