baseline,,bm3,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0101318,-0.0009754260536,800.0101318,0.003440818982,
799.0389404,-0.0003089685342,799.0389404,0.006709931884,
798.0673218,-0.0009848272894,798.0673218,0.005436310545,
796.9564209,0.0004390148679,796.9564209,0.006282288581,
795.9840088,-0.0002885844151,795.9840088,0.006623528432,
795.0111694,-0.001871194458,795.0111694,0.004584914073,
794.0380249,0.001703423099,794.0380249,0.005851550493,
793.0644531,0.0007299243007,793.0644531,0.00632935483,
791.951355,0.001249499386,791.951355,0.005886867177,
790.9769897,-0.0001248042099,790.9769897,0.007513936609,
790.0022583,0.0004338324652,790.0022583,0.006020760164,
789.0271606,0.001193506061,789.0271606,0.006206605118,
788.0516968,-0.001112343976,788.0516968,0.004342811648,
786.9364014,-0.0003463196917,786.9364014,0.005954097025,
785.960144,-0.0003221607767,785.960144,0.006753047928,
784.9835205,-0.0004826603108,784.9835205,0.005716240499,
784.0064697,-0.0007169669261,784.0064697,0.006957934238,
783.0291138,-0.0009502173052,783.0291138,0.00514558563,
782.0513306,0.0005459415843,782.0513306,0.005839324091,
780.9334717,0.001153923222,780.9334717,0.007551127113,
779.9549561,3.59816454E-6,779.9549561,0.006644608453,
778.9760132,-0.001577366842,778.9760132,0.005498175509,
777.9967651,0.001898842631,777.9967651,0.007211447693,
777.0170898,-0.0004627497983,777.0170898,0.006170842331,
776.0371094,-0.001632713247,776.0371094,0.005954648368,
775.0567017,0.001388358651,775.0567017,0.006572698709,
773.9358521,0.001210144954,773.9358521,0.007419552188,
772.9547119,0.001567606698,772.9547119,0.008039613254,
771.9731445,0.0007013509166,771.9731445,0.007775996812,
770.991272,-0.0007527841954,770.991272,0.006931736134,
770.0090332,-0.0008636285202,770.0090332,0.006108776666,
769.0264282,0.001475778641,769.0264282,0.006979556754,
768.043396,0.001003592857,768.043396,0.00727580348,
767.0600586,0.0005096571404,767.0600586,0.007270249072,
765.935791,0.0001588912564,765.935791,0.006094757933,
764.9517212,-0.001361381495,764.9517212,0.006194027141,
763.9672241,5.563251034E-5,763.9672241,0.008475695737,
762.9823608,0.001501805382,762.9823608,0.006783652585,
761.9971924,-0.0003916333953,761.9971924,0.007676654961,
761.0116577,-0.00120574981,761.0116577,0.005450675264,
760.0256958,-0.0004178055678,760.0256958,0.00638267817,
759.0394287,-0.0001048772829,759.0394287,0.005803224165,
758.0527954,0.0008381935186,758.0527954,0.006954804063,
757.0657959,0.0005579938297,757.0657959,0.005494898651,
755.9373779,-0.0008506593877,755.9373779,0.005990392994,
754.949646,-0.001222631894,754.949646,0.005794304889,
753.9615479,-0.001299342024,753.9615479,0.005829957779,
752.9730835,0.0009004962048,752.9730835,0.006495519076,
751.9842529,0.0002308347466,751.9842529,0.007187339943,
750.9950562,-0.0002792198211,750.9950562,0.006501194555,
750.0055542,-0.001139763626,750.0055542,0.006670973264,
749.015625,-0.0008363464149,749.015625,0.006596825086,
748.0253906,-0.001194701181,748.0253906,0.006717739627,
747.03479,0.0001993677142,747.03479,0.007343433332,
746.0438843,-0.001198676648,746.0438843,0.006619244348,
745.0525513,-0.0005177212879,745.0525513,0.005749867298,
744.0609131,0.000917435158,744.0609131,0.007281094324,
743.0689087,0.0006444171886,743.0689087,0.008541057818,
741.9347534,0.0003927641374,741.9347534,0.00820952002,
740.9420166,-0.0008050834876,740.9420166,0.006184758153,
739.9489136,0.0007792191464,739.9489136,0.007317211945,
738.9554443,0.0006186750252,738.9554443,0.008585702628,
737.9616699,0.0001933853491,737.9616699,0.008286291733,
736.9675293,-0.0004252535,736.9675293,0.00798484683,
735.9730225,-0.001044949167,735.9730225,0.006992051844,
734.9782104,-0.0009525419446,734.9782104,0.007892495953,
733.9830322,-0.000696188421,733.9830322,0.007898426615,
732.9874878,-7.345816266E-5,732.9874878,0.008374425583,
731.9915771,0.0002227023069,731.9915771,0.008409420028,
730.9953613,-0.0004312014207,730.9953613,0.008099502884,
729.9987793,0.0003261562088,729.9987793,0.009272533469,
729.0018921,-0.000358165853,729.0018921,0.008787044324,
728.0046387,0.0002026308503,728.0046387,0.009410648607,
727.007019,0.001600290183,727.007019,0.01057564002,
726.0090942,-0.0003324038989,726.0090942,0.008396488614,
725.0108032,-0.0001974132902,725.0108032,0.008429109119,
724.012146,0.0001629827457,724.012146,0.01024752855,
723.0131836,8.356794569E-5,723.0131836,0.009275151417,
722.013855,5.811788651E-5,722.013855,0.008496997878,
721.0142212,-0.0004932099255,721.0142212,0.008839612827,
720.0142212,0.0005091647035,720.0142212,0.009436891414,
719.013916,0.000397272408,719.013916,0.009337089024,
718.0131836,0.0002149843931,718.0131836,0.009343569167,
717.012207,-0.00012780611,717.012207,0.008951112628,
716.0108643,2.298734762E-5,716.0108643,0.009603851475,
715.0091553,0.0004526189587,715.0091553,0.009296413511,
714.0071411,-0.0005441961112,714.0071411,0.008635870181,
713.0047607,-0.0006272814935,713.0047607,0.009382636286,
712.0020752,-0.001206833986,712.0020752,0.008357088082,
710.9990234,-0.0009860669961,710.9990234,0.008081490174,
709.9956665,0.0003436945262,709.9956665,0.009568708017,
708.9919434,-0.0001295140682,708.9919434,0.009655460715,
707.987915,0.0005209309165,707.987915,0.009657420218,
706.9835815,0.000238656532,706.9835815,0.009551692754,
705.9788208,0.001326712896,705.9788208,0.009541584179,
704.9738159,0.0002057645324,704.9738159,0.009557672776,
703.9684448,0.0001297857525,703.9684448,0.008773096837,
702.9627075,0.001917406567,702.9627075,0.01046876144,
701.956665,-0.0003192119766,701.956665,0.009912699461,
700.9503174,0.000544438255,700.9503174,0.01011653896,
699.9436035,0.0002845541167,699.9436035,0.009907085449,
698.9365845,0.0003158977779,698.9365845,0.0101015158,
697.9292603,0.00019486151,697.9292603,0.009694370441,
697.0655518,0.0005782631924,697.0655518,0.01048491057,
696.0575562,-0.0003911678505,696.0575562,0.0117838718,
695.0492554,0.0006309885648,695.0492554,0.01055121142,
694.0406494,-4.695460666E-5,694.0406494,0.00969471503,
693.0316772,0.0002687795204,693.0316772,0.01042715739,
692.0223999,-0.0001629474864,692.0223999,0.009657260962,
691.0128174,-0.0006824388984,691.0128174,0.009993243963,
690.0028687,-0.0002803063253,690.0028687,0.01026661228,
688.9926147,0.0005578382988,688.9926147,0.00995229464,
687.9819946,3.79246012E-5,687.9819946,0.01006781496,
686.9711304,0.0005979372654,686.9711304,0.01025977358,
685.9598389,-0.0003920989111,685.9598389,0.009852559306,
684.9483032,0.0006296146312,684.9483032,0.01014557946,
683.9364624,0.0005018045194,683.9364624,0.0106921494,
683.0688477,0.0003480986634,683.0688477,0.01007067692,
682.0563965,0.0001648213511,682.0563965,0.01049265359,
681.0435791,-8.05496602E-5,681.0435791,0.01095470134,
680.0304565,-0.000209315258,680.0304565,0.01076041907,
679.0170288,3.559466495E-5,679.0170288,0.01070952695,
678.0032349,-0.0007958334172,678.0032349,0.01009772718,
676.9891357,-0.0004403041385,676.9891357,0.0112131089,
675.9747314,-0.0001203530774,675.9747314,0.0113096498,
674.960022,0.0004362681939,674.960022,0.01212887838,
673.9450073,-0.0001358283189,673.9450073,0.009867600165,
672.9296265,-0.001051560044,672.9296265,0.01068994682,
672.059082,-0.001683926792,672.059082,0.008737201802,
671.0431519,-0.0007696839748,671.0431519,0.01071754005,
670.0268555,9.006662003E-5,670.0268555,0.01103153545,
669.0103149,0.0001889051055,669.0103149,0.01103206724,
667.9934082,0.0007835758151,667.9934082,0.01227980759,
666.9761963,0.0006508983788,666.9761963,0.01203875523,
665.9586792,-0.0006792857894,665.9586792,0.01125340723,
664.9407959,0.0002158390562,664.9407959,0.01160038449,
664.0681152,0.0002055573423,664.0681152,0.01162665337,
663.0497437,0.0003371402563,663.0497437,0.01165252458,
662.0310059,-2.283082358E-5,662.0310059,0.0108129885,
661.0119629,0.0003895254922,661.0119629,0.01212802622,
659.9925537,0.0003924273187,659.9925537,0.01190544199,
658.9729004,-0.0001965853153,658.9729004,0.01113241818,
657.9529419,5.666808283E-5,657.9529419,0.01293757372,
656.9326172,-0.0005266670487,656.9326172,0.01167738717,
