baselione2,,bm3WT_heme_Working_stock,,bm3WT_heme_Working_stock1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0101318,0.001422664849,800.0101318,0.000115052484,800.0101318,0.009210181423,
799.0389404,0.0007438227767,799.0389404,0.001167290146,799.0389404,0.009260368533,
798.0673218,4.090002221E-6,798.0673218,0.0002617601131,798.0673218,0.006957303267,
796.9564209,-0.000492847932,796.9564209,-0.0001677086839,796.9564209,0.006507001817,
795.9840088,0.0003547826491,795.9840088,0.001580778509,795.9840088,0.006926186383,
795.0111694,5.15679094E-5,795.0111694,0.0006808684557,795.0111694,0.008802814409,
794.0380249,0.0008071233169,794.0380249,0.001218892983,794.0380249,0.006482407451,
793.0644531,-0.001117817708,793.0644531,-0.001029506326,793.0644531,0.005659983028,
791.951355,-0.0004035817692,791.951355,0.001245735097,791.951355,0.006771137007,
790.9769897,-0.00134543376,790.9769897,-0.001294541522,790.9769897,0.004923670087,
790.0022583,0.0003758715466,790.0022583,0.002620456973,790.0022583,0.008330145851,
789.0271606,0.001592521789,789.0271606,0.0007826940855,789.0271606,0.007322292775,
788.0516968,-0.001060856273,788.0516968,-0.001447406714,788.0516968,0.007577941753,
786.9364014,0.001879421528,786.9364014,0.003291990375,786.9364014,0.007975144312,
785.960144,-0.001688671415,785.960144,0.0007432004204,785.960144,0.004719740711,
784.9835205,-0.0004245811433,784.9835205,-0.0003043123579,784.9835205,0.0064506419,
784.0064697,-0.0007620352553,784.0064697,5.226691428E-5,784.0064697,0.005776781123,
783.0291138,0.000805282034,783.0291138,0.003465450369,783.0291138,0.009112573229,
782.0513306,0.00199637725,782.0513306,0.001291142078,782.0513306,0.008208015934,
780.9334717,0.0001775881537,780.9334717,0.0004257221299,780.9334717,0.008573213592,
779.9549561,0.0009736263892,779.9549561,0.001937921508,779.9549561,0.00902339071,
778.9760132,-0.001082805102,778.9760132,0.001141932211,778.9760132,0.007122339215,
777.9967651,-0.003275086172,777.9967651,-0.001145598479,777.9967651,0.004570263904,
777.0170898,0.000350456161,777.0170898,0.00166028575,777.0170898,0.007744980045,
776.0371094,-0.0001111401289,776.0371094,0.002033332363,776.0371094,0.008684406988,
775.0567017,0.0006835907698,775.0567017,0.000787180441,775.0567017,0.008598190732,
773.9358521,0.0004145803978,773.9358521,0.002958960831,773.9358521,0.007633736823,
772.9547119,0.001845001243,772.9547119,0.002694789087,772.9547119,0.00925370492,
771.9731445,-0.001695942832,771.9731445,0.0006074246485,771.9731445,0.006479464471,
770.991272,-0.0001470591669,770.991272,0.0006474762922,770.991272,0.00690769637,
770.0090332,0.0005449825549,770.0090332,0.001658180961,770.0090332,0.008397306316,
769.0264282,0.000169715684,769.0264282,0.00208157883,769.0264282,0.00893261563,
768.043396,0.0001472384611,768.043396,0.00151045539,768.043396,0.009808578528,
767.0600586,0.000114534625,767.0600586,0.001714130165,767.0600586,0.007887144573,
765.935791,-0.0006142536295,765.935791,0.001390280318,765.935791,0.007470217999,
764.9517212,-0.0005940906121,764.9517212,-0.0002022776171,764.9517212,0.007696231827,
763.9672241,0.00258433749,763.9672241,0.003249034053,763.9672241,0.008370123804,
762.9823608,-0.0003874436079,762.9823608,0.00132219505,762.9823608,0.008588764817,
761.9971924,-0.0006027763593,761.9971924,0.003173720324,761.9971924,0.008471472189,
761.0116577,0.0004128702858,761.0116577,0.003560284153,761.0116577,0.008463078178,
760.0256958,0.00115934771,760.0256958,0.001397447777,760.0256958,0.008800832555,
759.0394287,0.0003675291373,759.0394287,0.002691533184,759.0394287,0.008739420213,
758.0527954,0.0008206611383,758.0527954,0.001641290961,758.0527954,0.007665220648,
757.0657959,3.416961363E-6,757.0657959,0.002078743652,757.0657959,0.009137448855,
755.9373779,-0.0004143401748,755.9373779,0.0009188359836,755.9373779,0.007807754446,
754.949646,-0.0001840102486,754.949646,0.001710595796,754.949646,0.008027008735,
753.9615479,-0.000984362443,753.9615479,0.002284532879,753.9615479,0.007989961654,
752.9730835,-0.0007259602426,752.9730835,0.002996545285,752.9730835,0.008882280439,
751.9842529,-0.0003714083286,751.9842529,0.0008032332407,751.9842529,0.008201552555,
750.9950562,-0.001063335338,750.9950562,0.002202387666,750.9950562,0.008597108535,
750.0055542,0.0007300280267,750.0055542,0.003561588936,750.0055542,0.009948613122,
749.015625,-7.662179087E-6,749.015625,0.003047792474,749.015625,0.00814969372,
748.0253906,0.000236714026,748.0253906,0.002628139686,748.0253906,0.008675956167,
747.03479,0.000475656183,747.03479,0.003566704458,747.03479,0.009057882242,
746.0438843,0.002645120025,746.0438843,0.004275595304,746.0438843,0.01018713042,
745.0525513,0.0019176926,745.0525513,0.003787666326,745.0525513,0.01080155093,
744.0609131,0.0009289011359,744.0609131,0.003756984835,744.0609131,0.01135582943,
743.0689087,-8.489767788E-5,743.0689087,0.003453760874,743.0689087,0.009402051568,
741.9347534,-0.0002486929297,741.9347534,0.00198225677,741.9347534,0.009272374213,
740.9420166,-0.0008039466338,740.9420166,0.002875254722,740.9420166,0.009887699969,
739.9489136,-0.002338649938,739.9489136,0.002183265053,739.9489136,0.0095926309,
738.9554443,-9.659569332E-5,738.9554443,0.003307405626,738.9554443,0.01003536209,
737.9616699,0.0003275810159,737.9616699,0.004500919953,737.9616699,0.01071679685,
736.9675293,0.001303319004,736.9675293,0.003618071321,736.9675293,0.01076047216,
735.9730225,-0.001301871263,735.9730225,0.003078475827,735.9730225,0.009192096069,
734.9782104,0.0002607758506,734.9782104,0.003384855576,734.9782104,0.01034404058,
733.9830322,0.0009400300914,733.9830322,0.003920208663,733.9830322,0.010120566,
732.9874878,0.000569139258,732.9874878,0.005703100003,732.9874878,0.01080428436,
731.9915771,-0.0004113919858,731.9915771,0.003742937464,731.9915771,0.01192031428,
730.9953613,-0.000863886904,730.9953613,0.002812251216,730.9953613,0.009729921818,
729.9987793,0.0008863074472,729.9987793,0.00437123375,729.9987793,0.01081606746,
729.0018921,0.0004644613364,729.0018921,0.005200728308,729.0018921,0.01120559219,
728.0046387,-0.0005741335335,728.0046387,0.002838931512,728.0046387,0.01065826975,
727.007019,0.000416601426,727.007019,0.004354760516,727.007019,0.01091042254,
726.0090942,0.0005958375987,726.0090942,0.004539030604,726.0090942,0.01176001411,
725.0108032,-0.0001601010881,725.0108032,0.003187358379,725.0108032,0.01122333575,
724.012146,-0.0001018752228,724.012146,0.003137215739,724.012146,0.01064606663,
723.0131836,-0.0009615304298,723.0131836,0.003745182883,723.0131836,0.01084342971,
722.013855,0.0007695204695,722.013855,0.004969803616,722.013855,0.01131655835,
721.0142212,-0.0007042001234,721.0142212,0.00394635601,721.0142212,0.01166018285,
720.0142212,0.0008541184943,720.0142212,0.004476255737,720.0142212,0.0119351875,
719.013916,7.261621067E-5,719.013916,0.005456310697,719.013916,0.01283781696,
718.0131836,-0.0002594552061,718.0131836,0.005318005569,718.0131836,0.01196536142,
717.012207,-0.0009690723382,717.012207,0.004107795656,717.012207,0.01147515327,
716.0108643,0.001252406975,716.0108643,0.005569278263,716.0108643,0.01278985385,
715.0091553,0.001143281814,715.0091553,0.005752569064,715.0091553,0.0129800858,
714.0071411,0.0002309642441,714.0071411,0.004858824424,714.0071411,0.01302284189,
713.0047607,-0.0002443465637,713.0047607,0.005033775698,713.0047607,0.01176472194,
712.0020752,0.0001214739532,712.0020752,0.005186974537,712.0020752,0.01287266705,
710.9990234,-0.0003870815272,710.9990234,0.005565922242,710.9990234,0.01197108254,
709.9956665,0.0002339945204,709.9956665,0.005930373911,709.9956665,0.01312821638,
