baseline,,bm3WT_2in1000,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0101318,0.0001947061246,800.0101318,0.002277064603,
799.0389404,-0.0019785068,799.0389404,0.002174991881,
798.0673218,-0.0004081334337,798.0673218,0.002214902313,
796.9564209,0.0004955070326,796.9564209,0.003514795797,
795.9840088,0.000442176155,795.9840088,0.002771817148,
795.0111694,0.0004163164122,795.0111694,0.003177553648,
794.0380249,0.0001232864743,794.0380249,0.002966597443,
793.0644531,-0.0005649302038,793.0644531,0.001485441113,
791.951355,-0.0004932099255,791.951355,0.001683335169,
790.9769897,0.001872220077,790.9769897,0.003828848014,
790.0022583,-0.002668497618,790.0022583,0.00175529765,
789.0271606,-0.0004932099255,789.0271606,0.001628689002,
788.0516968,0.001341772964,788.0516968,0.003129732795,
786.9364014,0.0007940786891,786.9364014,0.002782290103,
785.960144,0.000694143062,785.960144,0.003613607725,
784.9835205,0.000557786494,784.9835205,0.003508715425,
784.0064697,0.0001767076756,784.0064697,0.002411567373,
783.0291138,-0.001454011421,783.0291138,0.001122986083,
782.0513306,-0.0001265639439,782.0513306,0.001875053858,
780.9334717,-0.0001622747077,780.9334717,0.003614390735,
779.9549561,-0.0008904439746,779.9549561,0.001992216567,
778.9760132,-0.0003776155936,778.9760132,0.002947832225,
777.9967651,-0.002317279577,777.9967651,0.001917354646,
777.0170898,-0.0001902202057,777.0170898,0.00329141668,
776.0371094,0.0004194257199,776.0371094,0.003846658859,
775.0567017,0.001846457017,775.0567017,0.002433823654,
773.9358521,0.0005843545077,773.9358521,0.003432261059,
772.9547119,0.0006959320744,772.9547119,0.003245721804,
771.9731445,0.001741028973,771.9731445,0.004184342921,
770.991272,7.893348811E-5,770.991272,0.001469155191,
770.0090332,-0.001392243081,770.0090332,0.002283570124,
769.0264282,0.0001522879611,769.0264282,0.00281272037,
768.043396,-0.0001102084716,768.043396,0.004390452523,
767.0600586,-0.0005471434561,767.0600586,0.002941446844,
765.935791,-0.0005850945017,765.935791,0.002329710172,
764.9517212,0.001358781126,764.9517212,0.003408961929,
763.9672241,-0.0004775922862,763.9672241,0.002124550054,
762.9823608,0.0008309833938,762.9823608,0.003378177062,
761.9971924,0.0005016490468,761.9971924,0.004313215148,
761.0116577,0.0008138922276,761.0116577,0.003877372714,
760.0256958,-0.0004241156275,760.0256958,0.002308422234,
759.0394287,0.001171339187,759.0394287,0.003547678469,
758.0527954,0.0003599381889,758.0527954,0.002986510284,
757.0657959,0.0004603151756,757.0657959,0.004664187785,
755.9373779,-0.0004584573035,755.9373779,0.002755378839,
754.949646,-0.0008647652576,754.949646,0.003252085298,
753.9615479,0.0003077896545,753.9615479,0.003873272333,
752.9730835,-0.0008970054914,752.9730835,0.002332078526,
751.9842529,-0.001094837789,751.9842529,0.002617253922,
750.9950562,0.0004785067867,750.9950562,0.001742042601,
750.0055542,0.001133497222,750.0055542,0.002681453247,
749.015625,-6.553832645E-5,749.015625,0.002509243321,
748.0253906,-0.000200466442,748.0253906,0.00334937661,
747.03479,0.0006209044368,747.03479,0.003775236895,
746.0438843,-1.299456198E-5,746.0438843,0.002138623269,
745.0525513,0.0001321679738,745.0525513,0.003008587519,
744.0609131,-0.001024599536,744.0609131,0.00278606778,
743.0689087,0.001026166254,743.0689087,0.002296165098,
741.9347534,0.0003672182502,741.9347534,0.003102252493,
740.9420166,0.001068099053,740.9420166,0.003035905538,
739.9489136,-0.001162069966,739.9489136,0.00292810332,
738.9554443,2.66374791E-5,738.9554443,0.002473887755,
737.9616699,0.0006429654313,737.9616699,0.003925641533,
736.9675293,9.094693087E-5,736.9675293,0.0036086482,
735.9730225,-0.0003360768897,735.9730225,0.004156325478,
734.9782104,0.0004368123482,734.9782104,0.005430596415,
733.9830322,-0.0002402071113,733.9830322,0.003959757276,
732.9874878,-0.0003883746685,732.9874878,0.003842036473,
731.9915771,0.00010311605,731.9915771,0.002725421451,
730.9953613,-0.0006650705473,730.9953613,0.002169424668,
729.9987793,-0.0003853228409,729.9987793,0.004069775343,
729.0018921,0.0009497844148,729.0018921,0.005100978538,
728.0046387,-0.0005860768724,728.0046387,0.004991274793,
727.007019,-0.001161708497,727.007019,0.004462420475,
726.0090942,-0.000326506386,726.0090942,0.004237717018,
725.0108032,-0.0007827071822,725.0108032,0.004484023899,
724.012146,4.452409485E-6,724.012146,0.00522742467,
723.0131836,-4.716167314E-5,723.0131836,0.004666438326,
722.013855,0.0001037892507,722.013855,0.005164576694,
721.0142212,-0.0003221090592,721.0142212,0.005815449636,
720.0142212,0.0001095891275,720.0142212,0.005058575887,
719.013916,-0.0003739946987,719.013916,0.004845500458,
718.0131836,-0.0005916606751,718.0131836,0.004757661372,
717.012207,0.0002275713923,717.012207,0.004807179794,
716.0108643,-0.0004486826074,716.0108643,0.005385986529,
715.0091553,0.0002583929454,715.0091553,0.0054419199,
714.0071411,0.0001603413984,714.0071411,0.005099642556,
713.0047607,0.0007718284614,713.0047607,0.005744175054,
712.0020752,1.736983177E-5,712.0020752,0.004907307215,
710.9990234,0.0002843987022,710.9990234,0.005315804388,
709.9956665,-0.001035342575,709.9956665,0.003813074669,
708.9919434,-0.0002099362318,708.9919434,0.005450124387,
707.987915,0.0004499240313,707.987915,0.006899727508,
706.9835815,5.146435433E-5,706.9835815,0.005724424031,
705.9788208,0.00026289979,705.9788208,0.005227005575,
704.9738159,-0.0005053106579,704.9738159,0.005127904471,
703.9684448,0.001392409788,703.9684448,0.005153836682,
702.9627075,-0.0003306967265,702.9627075,0.005021126941,
701.956665,0.0002564762253,701.956665,0.006116468459,
700.9503174,-9.328300803E-5,700.9503174,0.006411207374,
699.9436035,-0.0005441444227,699.9436035,0.006535381544,
698.9365845,9.966212019E-6,698.9365845,0.006393711083,
697.9292603,9.793766367E-5,697.9292603,0.005508373491,
697.0655518,0.0001494913013,697.0655518,0.005840084981,
696.0575562,-0.0004908828414,696.0575562,0.005989369471,
695.0492554,0.000458604889,695.0492554,0.005839324091,
